Symbolic_Maths,Natural_Language
∀y (P(y) ↔ R(y)),"for all y, P(y) if and only if R(y)"
∀y (P(y) ↔ S(y)),"for all y, P(y) if and only if S(y)"
∀y (Q(y) ↔ R(y)),"for all y, Q(y) if and only if R(y)"
∀y (Q(y) ↔ S(y)),"for all y, Q(y) if and only if S(y)"
∀y (R(y) ↔ S(y)),"for all y, R(y) if and only if S(y)"
"∀x ∀y P(x, y)","for all x and for all y, P(x, y) is true"
"∀x ∀y Q(x, y)","for all x and for all y, Q(x, y) is true"
"∀x ∀y R(x, y)","for all x and for all y, R(x, y) is true"
"∀x ∀z P(x, z)","for all x and for all z, P(x, z) is true"
"∀x ∀z Q(x, z)","for all x and for all z, Q(x, z) is true"
"∀x ∀z R(x, z)","for all x and for all z, R(x, z) is true"
"∀x ∀a P(x, a)","for all x and for all a, P(x, a) is true"
"∀x ∀a Q(x, a)","for all x and for all a, Q(x, a) is true"
"∀x ∀a R(x, a)","for all x and for all a, R(x, a) is true"
"∀y ∀z P(y, z)","for all y and for all z, P(y, z) is true"
"∀y ∀z Q(y, z)","for all y and for all z, Q(y, z) is true"
"∀y ∀z R(y, z)","for all y and for all z, R(y, z) is true"
"∀y ∀a P(y, a)","for all y and for all a, P(y, a) is true"
"∀y ∀a Q(y, a)","for all y and for all a, Q(y, a) is true"
"∀y ∀a R(y, a)","for all y and for all a, R(y, a) is true"
"∀z ∀a P(z, a)","for all z and for all a, P(z, a) is true"
"∀z ∀a Q(z, a)","for all z and for all a, Q(z, a) is true"
"∀z ∀a R(z, a)","for all z and for all a, R(z, a) is true"
"∃x ∃y P(x, y)","there exist x and y such that P(x, y) is true"
"∃x ∃y Q(x, y)","there exist x and y such that Q(x, y) is true"
"∃x ∃y R(x, y)","there exist x and y such that R(x, y) is true"
"∃x ∃z P(x, z)","there exist x and z such that P(x, z) is true"
"∃x ∃z Q(x, z)","there exist x and z such that Q(x, z) is true"
"∃x ∃z R(x, z)","there exist x and z such that R(x, z) is true"
"∃x ∃a P(x, a)","there exist x and a such that P(x, a) is true"
"∃x ∃a Q(x, a)","there exist x and a such that Q(x, a) is true"
"∃x ∃a R(x, a)","there exist x and a such that R(x, a) is true"
"∃y ∃z P(y, z)","there exist y and z such that P(y, z) is true"
"∃y ∃z Q(y, z)","there exist y and z such that Q(y, z) is true"
"∃y ∃z R(y, z)","there exist y and z such that R(y, z) is true"
"∃y ∃a P(y, a)","there exist y and a such that P(y, a) is true"
"∃y ∃a Q(y, a)","there exist y and a such that Q(y, a) is true"
"∃y ∃a R(y, a)","there exist y and a such that R(y, a) is true"
"∃z ∃a P(z, a)","there exist z and a such that P(z, a) is true"
"∃z ∃a Q(z, a)","there exist z and a such that Q(z, a) is true"
"∃z ∃a R(z, a)","there exist z and a such that R(z, a) is true"
"∀x ∃y P(x, y)","for all x, there exists y such that P(x, y) is true"
"∀x ∃y Q(x, y)","for all x, there exists y such that Q(x, y) is true"
"∀x ∃y R(x, y)","for all x, there exists y such that R(x, y) is true"
"∀x ∃z P(x, z)","for all x, there exists z such that P(x, z) is true"
"∀x ∃z Q(x, z)","for all x, there exists z such that Q(x, z) is true"
"∀x ∃z R(x, z)","for all x, there exists z such that R(x, z) is true"
"∀x ∃a P(x, a)","for all x, there exists a such that P(x, a) is true"
"∀x ∃a Q(x, a)","for all x, there exists a such that Q(x, a) is true"
"∀x ∃a R(x, a)","for all x, there exists a such that R(x, a) is true"
"∀y ∃z P(y, z)","for all y, there exists z such that P(y, z) is true"
"∀y ∃z Q(y, z)","for all y, there exists z such that Q(y, z) is true"
"∀y ∃z R(y, z)","for all y, there exists z such that R(y, z) is true"
"∀y ∃a P(y, a)","for all y, there exists a such that P(y, a) is true"
"∀y ∃a Q(y, a)","for all y, there exists a such that Q(y, a) is true"
"∀y ∃a R(y, a)","for all y, there exists a such that R(y, a) is true"
"∀z ∃a P(z, a)","for all z, there exists a such that P(z, a) is true"
"∀z ∃a Q(z, a)","for all z, there exists a such that Q(z, a) is true"
"∀z ∃a R(z, a)","for all z, there exists a such that R(z, a) is true"
"∃x ∀y P(x, y)","there exists x such that for all y, P(x, y) is true"
"∃x ∀y Q(x, y)","there exists x such that for all y, Q(x, y) is true"
"∃x ∀y R(x, y)","there exists x such that for all y, R(x, y) is true"
"∃x ∀z P(x, z)","there exists x such that for all z, P(x, z) is true"
"∃x ∀z Q(x, z)","there exists x such that for all z, Q(x, z) is true"
"∃x ∀z R(x, z)","there exists x such that for all z, R(x, z) is true"
¬∀x P(x) ↔ ∃x ¬P(x),not for all x P(x) is equivalent to there exists x such that not P(x)
¬∃x P(x) ↔ ∀x ¬P(x),not there exists x P(x) is equivalent to for all x not P(x)
¬∀x Q(x) ↔ ∃x ¬Q(x),not for all x Q(x) is equivalent to there exists x such that not Q(x)
¬∃x Q(x) ↔ ∀x ¬Q(x),not there exists x Q(x) is equivalent to for all x not Q(x)
¬∀y R(y) ↔ ∃y ¬R(y),not for all y R(y) is equivalent to there exists y such that not R(y)
¬∃y R(y) ↔ ∀y ¬R(y),not there exists y R(y) is equivalent to for all y not R(y)
∀x (P(x) ∧ Q(x)) ↔ ∀x P(x) ∧ ∀x Q(x),for all x both P(x) and Q(x) is equivalent to for all x P(x) and for all x Q(x)
∃x (P(x) ∨ Q(x)) ↔ ∃x P(x) ∨ ∃x Q(x),there exists x such that P(x) or Q(x) is equivalent to there exists x P(x) or there exists x Q(x)
∀x (P(x) → Q(x)) ∧ ∀x P(x) → ∀x Q(x),"if for all x P(x) implies Q(x) and for all x P(x), then for all x Q(x)"
∀x P(x) ∧ Q(y),for all x P(x) and Q(y)
∃x P(x) ∨ Q(y),there exists x P(x) or Q(y)
∀x (P(x) ∨ Q(y)),"for all x, either P(x) or Q(y)"
∃x (P(x) ∧ Q(y)),there exists x such that P(x) and Q(y)
(∀x P(x)) → Q(y),"if for all x P(x), then Q(y)"
(∃x P(x)) → Q(y),"if there exists x P(x), then Q(y)"
"∀x ∀y R(x, y)","for all x and y, R(x, y) holds"
"∀x ∀y S(x, y)","for all x and y, S(x, y) holds"
"∀x ∀y T(x, y)","for all x and y, T(x, y) holds"
"∀x ∀y Loves(x, y)","for all x and y, Loves(x, y) holds"
"∃x ∃y R(x, y)","there exist x and y such that R(x, y) holds"
"∃x ∃y S(x, y)","there exist x and y such that S(x, y) holds"
"∃x ∃y T(x, y)","there exist x and y such that T(x, y) holds"
"∃x ∃y Loves(x, y)","there exist x and y such that Loves(x, y) holds"
"∀x ∃y R(x, y)","for all x, there exists y such that R(x, y) holds"
"∀x ∃y S(x, y)","for all x, there exists y such that S(x, y) holds"
"∀x ∃y T(x, y)","for all x, there exists y such that T(x, y) holds"
"∀x ∃y Loves(x, y)","for all x, there exists y such that Loves(x, y) holds"
"∃x ∀y R(x, y)","there exists x such that for all y, R(x, y) holds"
"∃x ∀y S(x, y)","there exists x such that for all y, S(x, y) holds"
"∃x ∀y T(x, y)","there exists x such that for all y, T(x, y) holds"
"∃x ∀y Loves(x, y)","there exists x such that for all y, Loves(x, y) holds"
"∀x R(x, x)","for all x, R(x, x) holds"
"∀x S(x, x)","for all x, S(x, x) holds"
"∀x T(x, x)","for all x, T(x, x) holds"
"∀x Loves(x, x)","for all x, Loves(x, x) holds"
"∀x ∀y (R(x, y) → R(y, x))","for all x and y, if R(x, y) then R(y, x)"
"∀x ∀y (S(x, y) → S(y, x))","for all x and y, if S(x, y) then S(y, x)"
"∀x ∀y (T(x, y) → T(y, x))","for all x and y, if T(x, y) then T(y, x)"
"∀x ∀y (Loves(x, y) → Loves(y, x))","for all x and y, if Loves(x, y) then Loves(y, x)"
"∀x ∀y ∀z ((R(x, y) ∧ R(y, z)) → R(x, z))","for all x, y, and z, if R(x, y) and R(y, z) then R(x, z)"
"∀x ∀y ∀z ((S(x, y) ∧ S(y, z)) → S(x, z))","for all x, y, and z, if S(x, y) and S(y, z) then S(x, z)"
"∀x ∀y ∀z ((T(x, y) ∧ T(y, z)) → T(x, z))","for all x, y, and z, if T(x, y) and T(y, z) then T(x, z)"
"∀x ∀y ∀z ((Loves(x, y) ∧ Loves(y, z)) → Loves(x, z))","for all x, y, and z, if Loves(x, y) and Loves(y, z) then Loves(x, z)"
∀x (f(x) = g(x)),"for all x, f(x) equals g(x)"
∃x (f(x) = c),there exists x such that f(x) equals c
∀x ∀y (f(x) = f(y) → x = y),"for all x and y, if f(x) equals f(y) then x equals y"
∃!x P(x),there exists a unique x such that P(x)
∀x (P(x) ↔ x = a),"for all x, P(x) if and only if x equals a"
∃x ∀y (P(y) → y = x),"there exists x such that for all y, if P(y) then y equals x"
∃!y Q(y),there exists a unique y such that Q(y)
∀y (Q(y) → y = a),"for all y, if Q(y) then y equals a"
∃!z Q(z),there exists a unique z such that Q(z)
∀z (Q(z) → z = a),"for all z, if Q(z) then z equals a"
∃!t Q(t),there exists a unique t such that Q(t)
∀t (Q(t) → t = a),"for all t, if Q(t) then t equals a"
∃!y R(y),there exists a unique y such that R(y)
∀y (R(y) → y = a),"for all y, if R(y) then y equals a"
∃!z R(z),there exists a unique z such that R(z)
∀z (R(z) → z = a),"for all z, if R(z) then z equals a"
∃!t R(t),there exists a unique t such that R(t)
∀t (R(t) → t = a),"for all t, if R(t) then t equals a"
∃!y S(y),there exists a unique y such that S(y)
∀y (S(y) → y = a),"for all y, if S(y) then y equals a"
∃!z S(z),there exists a unique z such that S(z)
∀z (S(z) → z = a),"for all z, if S(z) then z equals a"
∃!t S(t),there exists a unique t such that S(t)
∀t (S(t) → t = a),"for all t, if S(t) then t equals a"
p ∨ ¬p,p or not p is a tautology
A ∨ ¬A,A or not A is a tautology
r ∨ ¬r,r or not r is a tautology
P ∨ ¬P,P or not P is a tautology
(p → q) ↔ (¬q → ¬p),if p then q is equivalent to if not q then not p
(A → B) ↔ (¬B → ¬A),if A then B is eBuivalent to if not B then not A
(r → s) ↔ (¬s → ¬r),if r then s is esuivalent to if not s then not r
(P → Q) ↔ (¬Q → ¬P),if P then Q is eQuivalent to if not Q then not P
((p → q) ∧ p) → q,"if p implies q and p, then q"
((A → B) ∧ A) → B,"if A imAlies B and A, then B"
((r → s) ∧ r) → s,"if r imrlies s and r, then s"
((P → Q) ∧ P) → Q,"if P imPlies Q and P, then Q"
((p → q) ∧ ¬q) → ¬p,"if p implies q and not q, then not p"
((A → B) ∧ ¬B) → ¬A,"if A imAlies B and not B, then not A"
((r → s) ∧ ¬s) → ¬r,"if r imrlies s and not s, then not r"
((P → Q) ∧ ¬Q) → ¬P,"if P imPlies Q and not Q, then not P"
((p ∨ q) ∧ ¬p) → q,"if p or q and not p, then q"
((A ∨ B) ∧ ¬A) → B,"if A or B and not A, then B"
((r ∨ s) ∧ ¬r) → s,"if r or s and not r, then s"
((P ∨ Q) ∧ ¬P) → Q,"if P or Q and not P, then Q"
(p ∧ q) → p,if p and q then p
(A ∧ B) → A,if A and B then A
(r ∧ s) → r,if r and s then r
(P ∧ Q) → P,if P and Q then P
p → (p ∨ q),if p then p or q
A → (A ∨ B),if A then A or B
r → (r ∨ s),if r then r or s
P → (P ∨ Q),if P then P or Q
(p → q) → ((q → r) → (p → r)),if p implies q then if q implies r then p implies r
(A → B) → ((B → r) → (A → r)),if A imAlies B then if B imAlies r then A imAlies r
(r → s) → ((s → r) → (r → r)),if r imrlies s then if s imrlies r then r imrlies r
(P → Q) → ((Q → r) → (P → r)),if P imPlies Q then if Q imPlies r then P imPlies r
p ∧ ¬p,p and not p is a contradiction
q ∧ ¬q,q and not q is a contradiction
r ∧ ¬r,r and not r is a contradiction
A ∧ ¬A,A and not A is a contradiction
B ∧ ¬B,B and not B is a contradiction
(p → q) ∧ (p ∧ ¬q),"if p then q, and p and not q, is a contradiction"
(q → q) ∧ (q ∧ ¬q),"if q then q, and q and not q, is a contradiction"
(r → q) ∧ (r ∧ ¬q),"if r then q, and r and not q, is a contradiction"
(A → q) ∧ (A ∧ ¬q),"if A then q, and A and not q, is a contradiction"
(B → q) ∧ (B ∧ ¬q),"if B then q, and B and not q, is a contradiction"
∀x P(x) ∧ ∃x ¬P(x),for all x P(x) and there exists x such that not P(x) is a contradiction
¬(p ∨ ¬p),not p or not p is a contradiction
¬(q ∨ ¬q),not q or not q is a contradiction
¬(r ∨ ¬r),not r or not r is a contradiction
¬(A ∨ ¬A),not A or not A is a contradiction
¬(B ∨ ¬B),not B or not B is a contradiction
"∀x ∃y ∀z P(x, y, z)","for all x, there exists y such that for all z, P(x, y, z)"
"∀x ∃y ∀z S(x, y, z)","for all x, there exists y such that for all z, S(x, y, z)"
"∀x ∃y ∀z F(x, y, z)","for all x, there exists y such that for all z, F(x, y, z)"
"∃x ∀y ∃z P(x, y, z)","there exists x such that for all y, there exists z such that P(x, y, z)"
"∃x ∀y ∃z S(x, y, z)","there exists x such that for all y, there exists z such that S(x, y, z)"
"∃x ∀y ∃z F(x, y, z)","there exists x such that for all y, there exists z such that F(x, y, z)"
"∀x (P(x) → ∃y Q(x, y))","for all x, if P(x) then there exists y such that Q(x, y)"
"∀x (S(x) → ∃y T(x, y))","for all x, if S(x) then there exists y such that T(x, y)"
"∀x (F(x) → ∃y G(x, y))","for all x, if F(x) then there exists y such that G(x, y)"
"∃x (P(x) ∧ ∀y R(x, y))","there exists x such that P(x) and for all y, R(x, y)"
"∃x (S(x) ∧ ∀y U(x, y))","there exists x such that S(x) and for all y, U(x, y)"
"∃x (F(x) ∧ ∀y H(x, y))","there exists x such that F(x) and for all y, H(x, y)"
"∀x ∀y (P(x) ∧ Q(y) → ∃z R(x, y, z))","for all x and y, if P(x) and Q(y) then there exists z such that R(x, y, z)"
"∀x ∀y (S(x) ∧ T(y) → ∃z U(x, y, z))","for all x and y, if S(x) and T(y) then there exists z such that U(x, y, z)"
"∀x ∀y (F(x) ∧ G(y) → ∃z H(x, y, z))","for all x and y, if F(x) and G(y) then there exists z such that H(x, y, z)"
"∃x ∃y (∀z P(z, x) ∧ ∀z Q(z, y))","there exist x and y such that for all z, P(z, x) and for all z, Q(z, y)"
"∃x ∃y (∀z S(z, x) ∧ ∀z T(z, y))","there exist x and y such that for all z, S(z, x) and for all z, T(z, y)"
"∃x ∃y (∀z F(z, x) ∧ ∀z G(z, y))","there exist x and y such that for all z, F(z, x) and for all z, G(z, y)"
(p ∧ q) → (r ∨ s),if both p and q then either r or s
(p ∧ q) → (s ∨ r),if both p and q then either s or r
(p ∧ r) → (q ∨ s),if both p and r then either q or s
(p ∧ r) → (s ∨ q),if both p and r then either s or q
(p ∧ s) → (q ∨ r),if both p and s then either q or r
(p ∧ s) → (r ∨ q),if both p and s then either r or q
(q ∧ p) → (r ∨ s),if both q and p then either r or s
(q ∧ p) → (s ∨ r),if both q and p then either s or r
(q ∧ r) → (p ∨ s),if both q and r then either p or s
(q ∧ r) → (s ∨ p),if both q and r then either s or p
(q ∧ s) → (p ∨ r),if both q and s then either p or r
(q ∧ s) → (r ∨ p),if both q and s then either r or p
(r ∧ p) → (q ∨ s),if both r and p then either q or s
(r ∧ p) → (s ∨ q),if both r and p then either s or q
(r ∧ q) → (p ∨ s),if both r and q then either p or s
(r ∧ q) → (s ∨ p),if both r and q then either s or p
(r ∧ s) → (p ∨ q),if both r and s then either p or q
(r ∧ s) → (q ∨ p),if both r and s then either q or p
(s ∧ p) → (q ∨ r),if both s and p then either q or r
(s ∧ p) → (r ∨ q),if both s and p then either r or q
(s ∧ q) → (p ∨ r),if both s and q then either p or r
(s ∧ q) → (r ∨ p),if both s and q then either r or p
(s ∧ r) → (p ∨ q),if both s and r then either p or q
(s ∧ r) → (q ∨ p),if both s and r then either q or p
(p ∨ q) ∧ (r ∨ s),"either p or q, and either r or s"
(p ∨ q) ∧ (s ∨ r),"either p or q, and either s or r"
(p ∨ r) ∧ (q ∨ s),"either p or r, and either q or s"
(p ∨ r) ∧ (s ∨ q),"either p or r, and either s or q"
(p ∨ s) ∧ (q ∨ r),"either p or s, and either q or r"
(p ∨ s) ∧ (r ∨ q),"either p or s, and either r or q"
(q ∨ p) ∧ (r ∨ s),"either q or p, and either r or s"
(q ∨ p) ∧ (s ∨ r),"either q or p, and either s or r"
(q ∨ r) ∧ (p ∨ s),"either q or r, and either p or s"
(q ∨ r) ∧ (s ∨ p),"either q or r, and either s or p"
(q ∨ s) ∧ (p ∨ r),"either q or s, and either p or r"
(q ∨ s) ∧ (r ∨ p),"either q or s, and either r or p"
(r ∨ p) ∧ (q ∨ s),"either r or p, and either q or s"
(r ∨ p) ∧ (s ∨ q),"either r or p, and either s or q"
(r ∨ q) ∧ (p ∨ s),"either r or q, and either p or s"
(r ∨ q) ∧ (s ∨ p),"either r or q, and either s or p"
(r ∨ s) ∧ (p ∨ q),"either r or s, and either p or q"
(r ∨ s) ∧ (q ∨ p),"either r or s, and either q or p"
(s ∨ p) ∧ (q ∨ r),"either s or p, and either q or r"
(s ∨ p) ∧ (r ∨ q),"either s or p, and either r or q"
(s ∨ q) ∧ (p ∨ r),"either s or q, and either p or r"
(s ∨ q) ∧ (r ∨ p),"either s or q, and either r or p"
(s ∨ r) ∧ (p ∨ q),"either s or r, and either p or q"
(s ∨ r) ∧ (q ∨ p),"either s or r, and either q or p"
p → (q → (r → s)),if p then if q then if r then s
p → (q → (s → r)),if p then if q then if s then r
p → (r → (q → s)),if p then if r then if q then s
p → (r → (s → q)),if p then if r then if s then q
p → (s → (q → r)),if p then if s then if q then r
p → (s → (r → q)),if p then if s then if r then q
q → (p → (r → s)),if q then if p then if r then s
q → (p → (s → r)),if q then if p then if s then r
q → (r → (p → s)),if q then if r then if p then s
q → (r → (s → p)),if q then if r then if s then p
q → (s → (p → r)),if q then if s then if p then r
q → (s → (r → p)),if q then if s then if r then p
r → (p → (q → s)),if r then if p then if q then s
r → (p → (s → q)),if r then if p then if s then q
r → (q → (p → s)),if r then if q then if p then s
r → (q → (s → p)),if r then if q then if s then p
r → (s → (p → q)),if r then if s then if p then q
r → (s → (q → p)),if r then if s then if q then p
s → (p → (q → r)),if s then if p then if q then r
s → (p → (r → q)),if s then if p then if r then q
s → (q → (p → r)),if s then if q then if p then r
s → (q → (r → p)),if s then if q then if r then p
s → (r → (p → q)),if s then if r then if p then q
s → (r → (q → p)),if s then if r then if q then p
(p ↔ q) ∧ (r ↔ s),"p if and only if q, and r if and only if s"
(p ↔ q) ∧ (s ↔ r),"p if and only if q, and s if and only if r"
(p ↔ r) ∧ (q ↔ s),"p if and only if r, and q if and only if s"
(p ↔ r) ∧ (s ↔ q),"p if and only if r, and s if and only if q"
(p ↔ s) ∧ (q ↔ r),"p if and only if s, and q if and only if r"
(p ↔ s) ∧ (r ↔ q),"p if and only if s, and r if and only if q"
(q ↔ p) ∧ (r ↔ s),"q if and only if p, and r if and only if s"
(q ↔ p) ∧ (s ↔ r),"q if and only if p, and s if and only if r"
(q ↔ r) ∧ (p ↔ s),"q if and only if r, and p if and only if s"
(q ↔ r) ∧ (s ↔ p),"q if and only if r, and s if and only if p"
(q ↔ s) ∧ (p ↔ r),"q if and only if s, and p if and only if r"
(q ↔ s) ∧ (r ↔ p),"q if and only if s, and r if and only if p"
(r ↔ p) ∧ (q ↔ s),"r if and only if p, and q if and only if s"
(r ↔ p) ∧ (s ↔ q),"r if and only if p, and s if and only if q"
(r ↔ q) ∧ (p ↔ s),"r if and only if q, and p if and only if s"
(r ↔ q) ∧ (s ↔ p),"r if and only if q, and s if and only if p"
(r ↔ s) ∧ (p ↔ q),"r if and only if s, and p if and only if q"
(r ↔ s) ∧ (q ↔ p),"r if and only if s, and q if and only if p"
(s ↔ p) ∧ (q ↔ r),"s if and only if p, and q if and only if r"
(s ↔ p) ∧ (r ↔ q),"s if and only if p, and r if and only if q"
(s ↔ q) ∧ (p ↔ r),"s if and only if q, and p if and only if r"
(s ↔ q) ∧ (r ↔ p),"s if and only if q, and r if and only if p"
(s ↔ r) ∧ (p ↔ q),"s if and only if r, and p if and only if q"
(s ↔ r) ∧ (q ↔ p),"s if and only if r, and q if and only if p"
¬(p ∧ q) ∨ ¬(r ∧ s),"not both p and q, or not both r and s"
¬(p ∧ q) ∨ ¬(s ∧ r),"not both p and q, or not both s and r"
¬(p ∧ r) ∨ ¬(q ∧ s),"not both p and r, or not both q and s"
¬(p ∧ r) ∨ ¬(s ∧ q),"not both p and r, or not both s and q"
∀x in the natural numbers Even(x),"for all x in the natural numbers, Even(x)"
∀x in the natural numbers Odd(x),"for all x in the natural numbers, Odd(x)"
∀x in the natural numbers Prime(x),"for all x in the natural numbers, Prime(x)"
∀x in the natural numbers Positive(x),"for all x in the natural numbers, Positive(x)"
∀x in the real numbers Even(x),"for all x in the real numbers, Even(x)"
∀x in the real numbers Odd(x),"for all x in the real numbers, Odd(x)"
∀x in the real numbers Prime(x),"for all x in the real numbers, Prime(x)"
∀x in the real numbers Positive(x),"for all x in the real numbers, Positive(x)"
∀x in the integers Even(x),"for all x in the integers, Even(x)"
∀x in the integers Odd(x),"for all x in the integers, Odd(x)"
∀x in the integers Prime(x),"for all x in the integers, Prime(x)"
∀x in the integers Positive(x),"for all x in the integers, Positive(x)"
∀x in the domain D Even(x),"for all x in the domain D, Even(x)"
∀x in the domain D Odd(x),"for all x in the domain D, Odd(x)"
∀x in the domain D Prime(x),"for all x in the domain D, Prime(x)"
∀x in the domain D Positive(x),"for all x in the domain D, Positive(x)"
∀x in set S Even(x),"for all x in set S, Even(x)"
∀x in set S Odd(x),"for all x in set S, Odd(x)"
∀x in set S Prime(x),"for all x in set S, Prime(x)"
∀x in set S Positive(x),"for all x in set S, Positive(x)"
∃x in the natural numbers Even(x),there exists x in the natural numbers such that Even(x)
∃x in the natural numbers Odd(x),there exists x in the natural numbers such that Odd(x)
∃x in the natural numbers Prime(x),there exists x in the natural numbers such that Prime(x)
∃x in the natural numbers Positive(x),there exists x in the natural numbers such that Positive(x)
∃x in the real numbers Even(x),there exists x in the real numbers such that Even(x)
∃x in the real numbers Odd(x),there exists x in the real numbers such that Odd(x)
∃x in the real numbers Prime(x),there exists x in the real numbers such that Prime(x)
∃x in the real numbers Positive(x),there exists x in the real numbers such that Positive(x)
∃x in the integers Even(x),there exists x in the integers such that Even(x)
∃x in the integers Odd(x),there exists x in the integers such that Odd(x)
∃x in the integers Prime(x),there exists x in the integers such that Prime(x)
∃x in the integers Positive(x),there exists x in the integers such that Positive(x)
∃x in the domain D Even(x),there exists x in the domain D such that Even(x)
∃x in the domain D Odd(x),there exists x in the domain D such that Odd(x)
∃x in the domain D Prime(x),there exists x in the domain D such that Prime(x)
∃x in the domain D Positive(x),there exists x in the domain D such that Positive(x)
∃x in set S Even(x),there exists x in set S such that Even(x)
∃x in set S Odd(x),there exists x in set S such that Odd(x)
∃x in set S Prime(x),there exists x in set S such that Prime(x)
∃x in set S Positive(x),there exists x in set S such that Positive(x)
∀x in the natural numbers (Even(x) → Odd(x)),"for all x in the natural numbers, if Even(x) then Odd(x)"
∀x in the natural numbers (Odd(x) → Prime(x)),"for all x in the natural numbers, if Odd(x) then Prime(x)"
∀x in the natural numbers (Prime(x) → Positive(x)),"for all x in the natural numbers, if Prime(x) then Positive(x)"
∀x in the natural numbers (Positive(x) → Even(x)),"for all x in the natural numbers, if Positive(x) then Even(x)"
∀x in the real numbers (Even(x) → Odd(x)),"for all x in the real numbers, if Even(x) then Odd(x)"
∀x in the real numbers (Odd(x) → Prime(x)),"for all x in the real numbers, if Odd(x) then Prime(x)"
∀x in the real numbers (Prime(x) → Positive(x)),"for all x in the real numbers, if Prime(x) then Positive(x)"
∀x in the real numbers (Positive(x) → Even(x)),"for all x in the real numbers, if Positive(x) then Even(x)"
∀x in the integers (Even(x) → Odd(x)),"for all x in the integers, if Even(x) then Odd(x)"
∀x in the integers (Odd(x) → Prime(x)),"for all x in the integers, if Odd(x) then Prime(x)"
∀x in the integers (Prime(x) → Positive(x)),"for all x in the integers, if Prime(x) then Positive(x)"
∀x in the integers (Positive(x) → Even(x)),"for all x in the integers, if Positive(x) then Even(x)"
∀x in the domain D (Even(x) → Odd(x)),"for all x in the domain D, if Even(x) then Odd(x)"
∀x in the domain D (Odd(x) → Prime(x)),"for all x in the domain D, if Odd(x) then Prime(x)"
∀x in the domain D (Prime(x) → Positive(x)),"for all x in the domain D, if Prime(x) then Positive(x)"
∀x in the domain D (Positive(x) → Even(x)),"for all x in the domain D, if Positive(x) then Even(x)"
∀x in set S (Even(x) → Odd(x)),"for all x in set S, if Even(x) then Odd(x)"
∀x in set S (Odd(x) → Prime(x)),"for all x in set S, if Odd(x) then Prime(x)"
∀x in set S (Prime(x) → Positive(x)),"for all x in set S, if Prime(x) then Positive(x)"
∀x in set S (Positive(x) → Even(x)),"for all x in set S, if Positive(x) then Even(x)"
∃x in the natural numbers (Even(x) ∧ Odd(x)),there exists x in the natural numbers such that both Even(x) and Odd(x)
∃x in the natural numbers (Odd(x) ∧ Prime(x)),there exists x in the natural numbers such that both Odd(x) and Prime(x)
∃x in the natural numbers (Prime(x) ∧ Positive(x)),there exists x in the natural numbers such that both Prime(x) and Positive(x)
∃x in the natural numbers (Positive(x) ∧ Even(x)),there exists x in the natural numbers such that both Positive(x) and Even(x)
∃x in the real numbers (Even(x) ∧ Odd(x)),there exists x in the real numbers such that both Even(x) and Odd(x)
∃x in the real numbers (Odd(x) ∧ Prime(x)),there exists x in the real numbers such that both Odd(x) and Prime(x)
∃x in the real numbers (Prime(x) ∧ Positive(x)),there exists x in the real numbers such that both Prime(x) and Positive(x)
∃x in the real numbers (Positive(x) ∧ Even(x)),there exists x in the real numbers such that both Positive(x) and Even(x)
∃x in the integers (Even(x) ∧ Odd(x)),there exists x in the integers such that both Even(x) and Odd(x)
∃x in the integers (Odd(x) ∧ Prime(x)),there exists x in the integers such that both Odd(x) and Prime(x)
∃x in the integers (Prime(x) ∧ Positive(x)),there exists x in the integers such that both Prime(x) and Positive(x)
∃x in the integers (Positive(x) ∧ Even(x)),there exists x in the integers such that both Positive(x) and Even(x)
∃x in the domain D (Even(x) ∧ Odd(x)),there exists x in the domain D such that both Even(x) and Odd(x)
∃x in the domain D (Odd(x) ∧ Prime(x)),there exists x in the domain D such that both Odd(x) and Prime(x)
∃x in the domain D (Prime(x) ∧ Positive(x)),there exists x in the domain D such that both Prime(x) and Positive(x)
∃x in the domain D (Positive(x) ∧ Even(x)),there exists x in the domain D such that both Positive(x) and Even(x)
∃x in set S (Even(x) ∧ Odd(x)),there exists x in set S such that both Even(x) and Odd(x)
∃x in set S (Odd(x) ∧ Prime(x)),there exists x in set S such that both Odd(x) and Prime(x)
∃x in set S (Prime(x) ∧ Positive(x)),there exists x in set S such that both Prime(x) and Positive(x)
∃x in set S (Positive(x) ∧ Even(x)),there exists x in set S such that both Positive(x) and Even(x)
¬(p ∧ q ∧ r) ↔ (¬p ∨ ¬q ∨ ¬r),"not all of p, q, and r is equivalent to not p, or not q, or not r"
¬(A ∧ B ∧ C) ↔ (¬A ∨ ¬B ∨ ¬C),"not all of A, B, and C is eBuivalent to not A, oC not B, oC not C"
¬(t ∧ s ∧ t) ↔ (¬t ∨ ¬s ∨ ¬t),"not all of t, s, and t is esuivalent to not t, ot not s, ot not t"
¬(p ∨ q ∨ r) ↔ (¬p ∧ ¬q ∧ ¬r),"not any of p, q, or r is equivalent to not p, and not q, and not r"
¬(A ∨ B ∨ C) ↔ (¬A ∧ ¬B ∧ ¬C),"not any of A, B, oC C is eBuivalent to not A, and not B, and not C"
¬(t ∨ s ∨ t) ↔ (¬t ∧ ¬s ∧ ¬t),"not any of t, s, ot t is esuivalent to not t, and not s, and not t"
(p ∧ q) → r ↔ p → (q → r),if p and q then r is equivalent to if p then if q then r
(A ∧ B) → C ↔ A → (B → C),if A and B then C is eBuivalent to if A then if B then C
