Symbolic_Maths,Natural_Language
"⟨v, x⟩",the inner product of v and x
‖z‖ₚ,the p-norm of vector z
Z ⊆ X,Every element of Z is an element of X
m ∈ U ∪ Z ↔ (m ∈ U ∨ m ∈ Z),m is an element of U union Z if and only if m is an element of U or m is an element of Z
"∃z in D, P(z)",there exists z in D such that P(z)
n ∈ Z ∩ V ↔ (n ∈ Z ∧ n ∈ V),n is an element of the intersection of Z and V if and only if n is in both Z and V
B - C,the difference of matrices B and C
"⟨f, v⟩",the dual pairing of f and v
c ∈ S,The element c is an element of set S
R ⊇ Q,Set R contains set Q
A ∪ W,The union of A and W
kw,the scalar k times vector w
A - C,the difference of matrices A and C
"⟨w, y⟩",the inner product of vectors w and y
s → A,s entails A
s ∈ P ∩ Y ↔ (s ∈ P ∧ s ∈ Y),s is an element of the intersection of P and Y if and only if s is in both P and Y
v - w,the difference of vectors v and w
p ∧ t,p is true and t is true
¬∀x Q(x) ↔ ∃x ¬Q(x),not for all x Q(x) is equivalent to there exists x such that not Q(x)
C is orthogonal,matrix C is orthogonal
"∀ S, S ⊆ Z → S ∈ 𝒫(Z)",Every subset of Z is an element of the power set of Z
Z ∩ Y,The intersection of Z and Y
∀z (P(z) → R(z)),"for all z, if P(z) then R(z)"
(u - x) × a,the cross product of the difference of u and x with a
V ⊆ Z ∧ Z ⊆ V → V = Z,"If V is a subset of Z and Z is a subset of V, then V equals Z"
(v - y) × a,the cross product of the difference of v and y with a
b ∈ C ∩ X ↔ (b ∈ C ∧ b ∈ X),b is an element of the intersection of C and X if and only if b is in both C and X
W ⊇ P,Set W contains set P
det(M),the determinant of matrix M
∇²f(x) ⪰ 0,the Hessian of f at x is positive semidefinite
Bᵀw,the transpose of matrix B times vector w
C₃₃,the 3 by 3 matrix C
"∃x, P(x)",there exists x such that P(x)
λ2(B),the second eigenvalue of matrix B
Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X),Intersection distributes over union: Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X)
∀y (R(y) → S(y)),"for all y, if R(y) then S(y)"
Y ∪ (Y ∩ W) = Y,Ybsorption law for union: Y ∪ (Y ∩ W) = Y
Injective (f : X → P),f is injective on X
I₃,the 3 by 3 identity matrix
Cv = λv,matrix C times vector v equals λ times vector v
∀y (Q(y) ∨ S(y)),"for all y, either Q(y) or S(y) is true"
v ∈ Bᶜ ↔ v ∉ B,v is an element of the complement of B if and only if v is not in B
W ∩ P,The intersection of W and P
v = [v₁; v₂; v₃],"the column vector v with components v1, v2, and v3"
Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z),Intersection distributes over union: Y ∩ (B ∪ Z) = (Y ∩ B) ∪ (Y ∩ Z)
v ∈ P ∪ Y ↔ (v ∈ P ∨ v ∈ Y),v is an element of P union Y if and only if v is an element of P or v is an element of Y
∃x (P(x) → R(x)),there exists x such that if P(x) then R(x)
A + C,the sum of matrices A and C
c ∉ B,c is not a member of set B
P ∨ ¬P,P or not P is a tautology
𝒫(A) = {S | S ⊆ A},The power set of A is the set of all subsets of A
q ↔ A,q is equivalent to A
(W ∪ C)ᶜ = Wᶜ ∩ Cᶜ,The complement of the union of W and C equals the intersection of their complements
r → s,r implies s
B ⊇ P,Set B contains set P
z ∈ Qᶜ ↔ z ∉ Q,z is an element of the complement of Q if and only if z is not in Q
"∀x ∀y S(x, y)","for all x and y, S(x, y) holds"
det(A - μI) = 0,the determinant of matrix A minus μ times the identity equals zero
s ↔ A,s and A have the same truth value
P → (P ∨ Q),if P then P or Q
r ∧ s,r is true and s is true
(p ∧ r) → (q ∨ s),if both p and r then either q or s
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
∃!y S(y),there is exactly one y for which S of y holds
A ≈ M,matrix A is approximately equal to matrix M
(B - μI)u = 0,matrix B minus μ times the identity matrix times vector u equals zero
v ∈ P ∩ S ↔ (v ∈ P ∧ v ∈ S),v is an element of the intersection of P and S if and only if v is in both P and S
A ∪ ∅ = A,The union of A and the empty set equals A
p ↔ t,p is equivalent to t
∀z P(z),"for every z, P of z holds"
s ∧ t,both s and t
‖v + x‖²,the squared norm of the sum of v and x
∃z in D Q(z),there is some z in D for which Q of z holds
A ⊇ Z,Set A contains set Z
∀x (P(x) ↔ S(x)),"for all x, P(x) if and only if S(x)"
Cᵀx,the transpose of matrix C times vector x
k ∈ S \ Q,k is an element of S but not in Q
A ≻ 0,matrix A is positive definite
AᵀM,the transpose of A times M
(v - z) × a,the cross product of the difference of v and z with a
∀a in D Q(a),"for every a in D, Q of a holds"
(q ∨ p) ∧ (s ∨ r),"either q or p, and either s or r"
T ⊇ Y,Set T contains set Y
"∀z ∃a Q(z, a)","for all z, there exists a such that Q(z, a) is true"
U ∈ 𝒫(U),U is an element of its own power set
∅ ∈ 𝒫(Y),The empty set is an element of the power set of Y
Y ∩ Z,The intersection of Y and Z
vᵀBv,the quadratic form v transpose B v
A ⊆ B ↔ A ∩ Bᶜ = ∅,A is a subset of B if and only if A intersected with the complement of B is empty
∃!z P(z),there exists a unique z such that P(z) is true
R × B,The Cartesian product of R and B
Y ⊆ univ,Every set Y is a subset of the universal set
Y ⊆ Z ∧ Z ⊆ Y → Y = Z,"If Y is a subset of Z and Z is a subset of Y, then Y equals Z"
v × x,the cross product of vectors v and x
q → A,if q is true then A is true
∅ ∈ 𝒫(U),The empty set is an element of the power set of U
rank(T),the rank of linear transformation T
r ∧ (p ∨ q),r and either p or q
∃a P(a),there exists a such that P(a) is true
C · u,matrix C applied to vector u
"⟨{w₁, w₂}⟩","the subspace generated by vectors {w₁, w₂}"
{n : ℕ | n > 5},The set of all natural numbers greater than 5
Y ∩ R,The intersection of Y and R
Disjoint Q Y → Q ∩ Y = ∅,"If Q and Y are disjoint, then Q ∩ Y = ∅"
"∀x ∃a P(x, a)","for all x, there exists a such that P(x, a) is true"
∃x in the real numbers Even(x),there exists x in the real numbers such that Even(x)
Finite A ∧ Finite V → Finite (A ∪ V),"If A is finite and V is finite, then A ∪ V is finite"
(q ∨ r) ∧ p,"either q or r, and also p"
"∃! x ∈ P, P x",There exists a unique element x in P satisfying P
s ∧ A,s and A
r ∨ t,r is true or t is true
"∃z in the domain, Q(z)",there exists z in the domain such that Q(z)
t → A,if t then A
∃x in the natural numbers (Positive(x) ∧ Even(x)),there exists x in the natural numbers such that both Positive(x) and Even(x)
X ⊆ U,X is a subset of U
Q ⊆ Q ∧ Q ⊆ A → Q ⊆ A,"If Q ⊆ Q and Q ⊆ A, then Q ⊆ A"
r → s,r entails s
(p ↔ q) ∧ (s ↔ r),"p if and only if q, and s if and only if r"
M is symmetric,matrix M is symmetric
"⟨u, x⟩",the inner product of vectors u and x
[x₁ x₂ x₃],"the row vector with components x1, x2, and x3"
B · M,the product of matrices B and M
p ↔ s,p is true if and only if s is true
pinv(C),the pseudoinverse of matrix C
∇²f(x),the Hessian of f at x
"(w, u)",the inner product of w and u
CM,the product of matrices C and M
im(T),the image of linear transformation T
dim(U),the dimension of subspace U
‖M‖_F,the Frobenius norm of matrix M
"Q = W ↔ ∀ x, x ∈ Q ↔ x ∈ W",Sets Q and W are equal if they have the same elements
Qᵀᵀ,the transpose of the transpose of matrix Q
p ∧ r,both p and r
Q \ T,The set difference Q minus T
∃z (Q(z) → R(z)),there exists z such that if Q(z) then R(z)
S ⊆ B,S is a subset of B
∃x P(x) ∨ Q(y),there exists x P(x) or Q(y)
rank(B),the rank of matrix B
∃!x Q(x),there exists a unique x such that Q(x) is true
"∃! x ∈ X, P x",There exists a unique element x in X satisfying P
∀y (Q(y) ↔ R(y)),"for all y, Q(y) if and only if R(y)"
∃y in the domain P(y),there exists y in the domain such that P(y) is true
S ∩ X ⊆ S,The intersection of S and X is a subset of S
U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B),Intersection distributes over union: U ∩ (A ∪ B) = (U ∩ A) ∪ (U ∩ B)
∃!x P(x),there exists a unique x such that P(x)
B is diagonal,matrix B is diagonal
p ∨ t,p or t
"P × S = {(a, b) | a ∈ P ∧ b ∈ S}","The Cartesian product P × S is the set of all ordered pairs (a, b) where a ∈ P and b ∈ S"
‖C‖∞,the infinity norm of matrix C
S ∪ A,The union of S and A
X \ Q,The set difference X minus Q
Q ∈ ℝ³ˣ³,matrix Q is a 3 by 3 real matrix
(p ↔ s) ∧ (q ↔ r),"p if and only if s, and q if and only if r"
v ⋅ (x + b),the dot product of v with the sum of x and b
|y|,the magnitude of vector y
C is singular,matrix C is singular
∃a P(a),there is some a for which P of a holds
(Pᶜ)ᶜ = P,Double complement of P is P
"∀x ∀y (Loves(x, y) → Loves(y, x))","for all x and y, if Loves(x, y) then Loves(y, x)"
∃x (P(x) ∧ S(x)),there exists x such that both P(x) and S(x) are true
M is singular,matrix M is singular
R ⊆ U ∧ Infinite R → Infinite U,"If R ⊆ U and R is infinite, then U is infinite"
"∃x ∃y (∀z P(z, x) ∧ ∀z Q(z, y))","there exist x and y such that for all z, P(z, x) and for all z, Q(z, y)"
chol(C),the Cholesky decomposition of matrix C
(Zᶜ)ᶜ = Z,Double complement of Z is Z
BMᵀ,matrix B times the transpose of M
λₘₐₓ(B),the largest eigenvalue of B
V ⊆ Z,V is a subset of Z
R ⊆ C,R is a subset of C
Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y),Intersection distributes over union: Z ∩ (R ∪ Y) = (Z ∩ R) ∪ (Z ∩ Y)
cu,the scalar c times vector u
¬(p ∧ q ∧ r) ↔ (¬p ∨ ¬q ∨ ¬r),"not all of p, q, and r is equivalent to not p, or not q, or not r"
a ∈ C ∩ R ↔ (a ∈ C ∧ a ∈ R),a is an element of the intersection of C and R if and only if a is in both C and R
V = S ↔ (V ⊆ S ∧ S ⊆ V),Two sets are equal if and only if each is a subset of the other
Mₘₙ,the m by n matrix M
r ↔ t,r is equivalent to t
Av = λv,matrix A times vector v equals λ times vector v
∀z (Q(z) ∧ R(z)),"for all z, both Q(z) and R(z) are true"
[M]ᵢⱼ,the i j entry of matrix M
V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C),Intersection distributes over union: V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C)
‖C‖*,the nuclear norm of matrix C
b ∈ A ∪ Q ↔ (b ∈ A ∨ b ∈ Q),b is an element of A union Q if and only if b is an element of A or b is an element of Q
∃x in the real numbers (Even(x) ∧ Odd(x)),there exists x in the real numbers such that both Even(x) and Odd(x)
∃z in the domain Q(z),there is some z in the domain for which Q of z holds
"S × B = {(a, b) | a ∈ S ∧ b ∈ B}","The Cartesian product S × B is the set of all ordered pairs (a, b) where a ∈ S and b ∈ B"
V ⊇ Z,Set V contains set Z
"∃x ∃y T(x, y)","there exist x and y such that T(x, y) holds"
U \ B,The set difference U minus B
p ↔ r,p and r have the same truth value
∀y in the domain Q(y),"for all y in the domain, Q(y) is true"
Disjoint T W → T ∩ W = ∅,"If T and W are disjoint, then T ∩ W = ∅"
∀x (Q(x) ↔ S(x)),"for all x, Q(x) if and only if S(x)"
S ∪ (S ∩ S) = S,Sbsorption law for union: S ∪ (S ∩ S) = S
Bv = x,the linear system B times v equals x
∀z (P(z) ∨ S(z)),"for all z, either P(z) or S(z) is true"
s ∨ A,either s or A
Bw = x,the linear system B times w equals x
dim(V) = n,the dimension of vector space V is n
A \ (B ∩ C) = (A \ B) ∪ (A \ C),Set difference anti-distributes over intersection
r ↔ s,r is equivalent to s
∃z (R(z) → S(z)),there exists z such that if R(z) then S(z)
P ∩ P ⊆ P,The intersection of P and P is a subset of P
v ∈ Q ∪ P ↔ (v ∈ Q ∨ v ∈ P),v is an element of Q union P if and only if v is an element of Q or v is an element of P
Z ⊆ V ∧ V ⊆ Q → Z ⊆ Q,"If Z ⊆ V and V ⊆ Q, then Z ⊆ Q"
w ∈ W,The element w is an element of set W
(q ∨ p) ∧ r,"either q or p, and also r"
[A | B],the augmented matrix A augmented with B
t → s,t implies s
r → A,if r then A
A ∈ 𝒫(A),A is an element of its own power set
v ∧ w,the wedge product of vectors v and w
¬(p → q) ↔ p ∧ ¬q,not if p then q is equivalent to p and not q
"∀x ∀y T(x, y)","for all x and y, T(x, y) holds"
"(y₁, y₂, y₃)","the vector with components y1, y2, and y3"
∃x in set S (Even(x) ∧ Odd(x)),there exists x in set S such that both Even(x) and Odd(x)
im(A),the image of matrix A
annihilator of S,the annihilator of set S
(kC)ᵀ,the transpose of k times matrix C
proj_w(v),the projection of v onto w
∀y P(y),"for every y, P of y holds"
Y ∩ U,The intersection of Y and U
q ∧ r,both q and r
v ⋅ x,the dot product of vectors v and x
kv,the scalar k times vector v
∃x in set S Prime(x),there exists x in set S such that Prime(x)
u ∧ y,the wedge product of vectors u and y
q ∧ s,both q and s
"span{w₁, w₂}","the span of vectors {w₁, w₂}"
A is orthogonal,matrix A is orthogonal
‖C‖,the norm of matrix C
M⁻²,the inverse of M squared
Bᵀ,the transpose of matrix B
x ∈ ℝⁿ,vector x is in the n-dimensional real space
"∀x ∀y ∀z ((Loves(x, y) ∧ Loves(y, z)) → Loves(x, z))","for all x, y, and z, if Loves(x, y) and Loves(y, z) then Loves(x, z)"
t ∈ R \ S,t is an element of R but not in S
v ∈ Rᶜ ↔ v ∉ R,v is an element of the complement of R if and only if v is not in R
q ↔ A,q if and only if A
u ∈ B \ Q,u is an element of B but not in Q
(p ↔ q) ↔ ((p → q) ∧ (q → p)),p if and only if q is equivalent to if p then q and if q then p
"∃ x ∈ Z, Q x",There exists an element x in Z such that property Q holds
(v - x) × b,the cross product of the difference of v and x with b
s → t,if s then t
‖A‖₂ = σₘₐₓ(A),the 2-norm of A equals the largest singular value of A
dim(W),the dimension of subspace W
P ∈ ℝᵐˣⁿ,matrix P is an m by n real matrix
‖u‖₂,the Euclidean norm of vector u
y ∈ P ∪ U ↔ (y ∈ P ∨ y ∈ U),y is an element of P union U if and only if y is an element of P or y is an element of U
∃x Q(x),there exists x such that Q(x) is true
SVD(B),the singular value decomposition of matrix B
"∃ S ⊆ S, S ≠ ∅",There exists a subset S of S that is non-empty
w ⋅ (z + b),the dot product of w with the sum of z and b
"∃ x ∈ Y, Q x",There exists an element x in Y such that property Q holds
p → r,p entails r
v ∈ X ∩ S ↔ (v ∈ X ∧ v ∈ S),v is an element of the intersection of X and S if and only if v is in both X and S
V ⊆ ℝⁿ,V is a subspace of n-dimensional real space
s → t,if s is true then t is true
k ∈ Vᶜ ↔ k ∉ V,k is an element of the complement of V if and only if k is not in V
Aᵀ,the transpose of matrix A
(w - x) × b,the cross product of the difference of w and x with b
p ∧ (q ∨ r),p and either q or r
e^A,the matrix exponential of A
(B - λI)u = 0,matrix B minus λ times the identity matrix times vector u equals zero
tr(B) = Σλᵢ,the trace of B equals the sum of its eigenvalues
w - y,the difference of vectors w and y
W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T),Union distributes over intersection: W ∪ (Y ∩ T) = (W ∪ Y) ∩ (W ∪ T)
"⟨{u₁, u₂, ..., uₙ}⟩","the subspace generated by vectors {u₁, u₂, ..., uₙ}"
B = [Bᵢⱼ],the matrix B with entries B i j
a ∈ C ∩ Y ↔ (a ∈ C ∧ a ∈ Y),a is an element of the intersection of C and Y if and only if a is in both C and Y
(P ∪ Y)ᶜ = Pᶜ ∩ Yᶜ,The complement of the union of P and Y equals the intersection of their complements
r ∨ A,r or A
C = QR,matrix C equals Q times R
v ∉ Y,v is not a member of set Y
V ⊆ P,V is a subset of P
q → (r ∧ p),if q then both r and p
W ⊇ Z,Set W contains set Z
tr(kC),the trace of k times matrix C
(B + C)ᵀ,the transpose of the sum of matrices B and C
P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W),Intersection distributes over union: P ∩ (A ∪ W) = (P ∩ A) ∪ (P ∩ W)
(s ↔ q) ∧ (p ↔ r),"s if and only if q, and p if and only if r"
(p ∨ s) ∧ (q ∨ r),"either p or s, and either q or r"
P ∪ U,The union of P and U
U ∩ B,The intersection of U and B
T ∪ (T ∩ R) = T,Absorption law for union: T ∪ (T ∩ R) = T
Z ∪ (Z ∩ B) = Z,Absorption law for union: Z ∪ (Z ∩ B) = Z
Injective (f : S → Q),f is injective on S
A → t,A implies t
A ∩ U,The intersection of A and U
v ∥ x,vector v is parallel to vector x
(w + y) ⋅ a,the dot product of the sum of w and y with a
v ⊥ w,vector v is orthogonal to vector w
‖M‖₂,the 2-norm of matrix M
m ∈ B ∪ P ↔ (m ∈ B ∨ m ∈ P),m is an element of B union P if and only if m is an element of B or m is an element of P
Z ⊆ S,Set Z is a subset of set S
(r ∨ p) ∧ q,"either r or p, and also q"
Z \ Y,The set difference Z minus Y
Aw = u,the linear system A times w equals u
U ⊆ V ∧ V ⊆ U → U = V,"If U is a subset of V and V is a subset of U, then U equals V"
dim(V),the dimension of subspace V
u ∈ Q \ Z,u is an element of Q but not in Z
"⟨{v₁, v₂, v₃}⟩","the subspace generated by vectors {v₁, v₂, v₃}"
v · x,the dot product of vectors v and x
det(AP),the determinant of the product of matrices A and P
w ∧ u,the wedge product of vectors w and u
A → s,A implies s
r ∨ (p ∧ q),r or both p and q
∀t (S(t) → t = a),"for all t, if S(t) then t equals a"
C ∪ T,The union of C and T
vᵀw,the transpose of v times w
(p ∧ q) → r ↔ p → (q → r),if p and q then r is equivalent to if p then if q then r
∃x in the domain D (Odd(x) ∧ Prime(x)),there exists x in the domain D such that both Odd(x) and Prime(x)
∃y (P(y) ∨ R(y)),there exists y such that either P(y) or R(y) is true
r → (s → (p → q)),if r then if s then if p then q
"u = [u₁, u₂, ..., uₙ]","the vector u with components u1, u2, through un"
q → r,if q then r
det(αM),the determinant of α times matrix M
∀z in D Q(z),"for all z in D, Q(z) is true"
T ⊇ Q,Set T contains set Q
U × B,The Cartesian product of U and B
B = LU,matrix B equals L times U
f : P → C,f maps P into C
det A,the determinant of matrix A
v ∈ S,The element v is an element of set S
eᵢ,the i-th standard basis vector
Z ⊆ U,Set Z is a subset of set U
"U × U = {(a, b) | a ∈ U ∧ b ∈ U}","The Cartesian product U × U is the set of all ordered pairs (a, b) where a ∈ U and b ∈ U"
‖B‖,the norm of matrix B
f : X → X,f maps X into X
"Injective f → ∀ x y ∈ Z, f x = f y → x = y","If f is injective, then for all x, y in Z, f(x) = f(y) implies x = y"
B = QΛQᵀ,matrix B equals Q times Lambda times Q transpose
B ∩ X,The intersection of B and X
(p ∧ q) → (s ∨ r),if both p and q then either s or r
"span{v₁, v₂, v₃}","the span of vectors v1, v2, and v3"
A ∪ B = B ∪ A,Union is commutative
w × y,the cross product of vectors w and y
p ∨ ⊤ ↔ ⊤,p or true is equivalent to true
A + M,the sum of matrices A and M
(t ∧ s) → t ↔ t → (s → t),if t and s then t is esuivalent to if t then if s then t
(r ∧ q) → (s ∨ p),if both r and q then either s or p
m ∈ T ∪ R ↔ (m ∈ T ∨ m ∈ R),m is an element of T union R if and only if m is an element of T or m is an element of R
|M|,the determinant of matrix M
(q ∧ p) → r,if both q and p then r
AMᵀ,matrix A times the transpose of M
"∀z ∃a P(z, a)","for all z, there exists a such that P(z, a) is true"
det(C - λI) = 0,the determinant of matrix C minus λ times the identity equals zero
∀x (P(x) ↔ x = a),"for all x, P(x) if and only if x equals a"
σ2(A),the second singular value of matrix A
C ∩ S,The intersection of C and S
A = LLᵀ,matrix A equals L times L transpose
B ⊆ univ,Every set B is a subset of the universal set
(w - y) × b,the cross product of the difference of w and y with b
xᵀAx,the quadratic form x transpose A x
r → t,if r then t
∃z P(z),there is some z for which P of z holds
Surjective (f : U → Y),f is surjective from U to Y
P ⊆ W ∧ W ⊆ P → P = W,"If P is a subset of W and W is a subset of P, then P equals W"
rank(L),the rank of linear transformation L
M = PDP⁻¹,matrix M equals P times D times P inverse
q → p,q implies p
∅ ∈ 𝒫(C),The empty set is an element of the power set of C
orthonormal basis,an orthonormal basis
Injective (f : Y → V),f is injective on Y
T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A),Union distributes over intersection: T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A)
Y ⊇ T,Set Y contains set T
det(P),the determinant of matrix P
∃x in the natural numbers Positive(x),there exists x in the natural numbers such that Positive(x)
v ⊗ u ⊗ y,"the tensor product of v, u, and y"
C ∈ ℝ³ˣ³,matrix C is a 3 by 3 real matrix
C is diagonal,matrix C is diagonal
proj_V(u),the projection of u onto subspace V
A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X),Union distributes over intersection: A ∪ (U ∩ X) = (A ∪ U) ∩ (A ∪ X)
Surjective (f : V → S),f is surjective from V to S
p ↔ s,p is equivalent to s
C ⊆ Y,Set C is a subset of set Y
(p ∨ r) ∧ q,"either p or r, and also q"
C ∩ X,The intersection of C and X
p → (r → (s → q)),if p then if r then if s then q
p_B(λ),the characteristic polynomial of matrix B
Y ⊆ A,Set Y is a subset of set A
p ∨ s,p is true or s is true
A - P,the difference of matrices A and P
(q → q) ∧ (q ∧ ¬q),"if q then q, and q and not q, is a contradiction"
∃a in D P(a),there is some a in D for which P of a holds
range(f),the range of linear transformation f
p → q ↔ ¬p ∨ q,if p then q is equivalent to not p or q
y ∈ P \ V,y is an element of P but not in V
t → s,if t then s
A ∪ U = U,The union of A and the universal set equals the universal set
b ∉ A,b is not a member of set A
A is upper triangular,matrix A is upper triangular
f '' U ⊆ T,The image of U under f is a subset of T
∀x in the natural numbers Positive(x),"for all x in the natural numbers, Positive(x)"
T ∪ B,The union of T and B
y ∉ Z,y is not a member of set Z
"∃x ∃z R(x, z)","there exist x and z such that R(x, z) is true"
Aw = x,the linear system A times w equals x
tr(A + C),the trace of the sum of matrices A and C
(w + u) ⋅ b,the dot product of the sum of w and u with b
"∃y ∃a R(y, a)","there exist y and a such that R(y, a) is true"
∂C/∂t,the partial derivative of matrix C with respect to t
x ∉ T,x is not a member of set T
q → s,q implies s
r ∨ s,r or s
‖B‖₂,the 2-norm of matrix B
𝒫(S) = {S | S ⊆ S},The power set of S is the set of all subsets of S
"∃x ∃y Q(x, y)","there exist x and y such that Q(x, y) is true"
Tijective (f : S → T),f is bijective from S to T
W ⊆ P,W is a subset of P
¬(B ∨ ¬B),not B or not B is a contradiction
A ∈ ℝᵐˣⁿ,matrix A is an m by n real matrix
det B,the determinant of matrix B
w · ê,the component of w in direction ê
Y ⊆ A ∧ A ⊆ W → Y ⊆ W,"If Y ⊆ A and A ⊆ W, then Y ⊆ W"
(A ∪ W)ᶜ = Aᶜ ∩ Wᶜ,The complement of the union of A and W equals the intersection of their complements
n ∈ C ∩ P ↔ (n ∈ C ∧ n ∈ P),n is an element of the intersection of C and P if and only if n is in both C and P
z ∈ T ∩ W ↔ (z ∈ T ∧ z ∈ W),z is an element of the intersection of T and W if and only if z is in both T and W
∃!x S(x),there exists one and only one x such that S(x)
M ∈ ℝⁿˣⁿ,matrix M is an n by n real matrix
"d(w, u)",the distance between vectors w and u
∅ ⊆ U,The empty set is a subset of every set U
T ∩ (X ∪ B) = (T ∩ X) ∪ (T ∩ B),Intersection distributes over union: T ∩ (X ∪ B) = (T ∩ X) ∪ (T ∩ B)
p ∨ s,either p or s
p ∨ q ↔ q ∨ p,p or q is equivalent to q or p
p ∧ s,p and s
r ∧ (q ∨ p),r and either q or p
r → A,r implies A
w ⋅ x,the dot product of vectors w and x
A ⊇ V,Set A contains set V
P ⊆ T ∧ T ⊆ T → P ⊆ T,"If P ⊆ T and T ⊆ T, then P ⊆ T"
σ₁(C) ≥ σ₂(C) ≥ ... ≥ σᵣ(C),the singular values of C in descending order
"∃x in D, Q(x)",there exists x in D such that Q(x)
((p → q) ∧ p) → q,"if p implies q and p, then q"
Qᶜ,The complement of Q
Z \ W,The set difference Z minus W
"∃x ∀z Q(x, z)","there exists x such that for all z, Q(x, z) is true"
Z ⊆ V → Vᶜ ⊆ Zᶜ,"If Z ⊆ V, then Vᶜ ⊆ Zᶜ"
"∃x ∃y (∀z S(z, x) ∧ ∀z T(z, y))","there exist x and y such that for all z, S(z, x) and for all z, T(z, y)"
Vijective (f : R → V),f is bijective from R to V
p ↔ r,p is true if and only if r is true
∃x (P(x) → Q(x)),there exists x such that if P(x) then Q(x)
w × x,the cross product of vectors w and x
|P|,the determinant of matrix P
S ∪ (S ∩ Z) = S,Sbsorption law for union: S ∪ (S ∩ Z) = S
r → A,if r is true then A is true
X ∩ (S ∪ A) = (X ∩ S) ∪ (X ∩ A),Intersection distributes over union: X ∩ (S ∪ A) = (X ∩ S) ∪ (X ∩ A)
Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W),Union distributes over intersection: Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W)
(Bᵀ)ᵢⱼ,the i j entry of the transpose of matrix B
R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z),Union distributes over intersection: R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z)
"{v₁, v₂, ..., vₙ} forms a basis","the vectors v1, v2, through vn form a basis"
w - u,the difference of vectors w and u
W ⊆ S → Sᶜ ⊆ Wᶜ,"If W ⊆ S, then Sᶜ ⊆ Wᶜ"
"∀z ∀a P(z, a)","for all z and for all a, P(z, a) is true"
C = LU,matrix C equals L times U
Disjoint T Tᶜ,T and its complement are disjoint
¬B,the negation of B
U ⊇ X,Set U contains set X
a ∈ A ∩ R ↔ (a ∈ A ∧ a ∈ R),a is an element of the intersection of A and R if and only if a is in both A and R
A · P,the product of matrices A and P
x ∈ Vᶜ ↔ x ∉ V,x is an element of the complement of V if and only if x is not in V
(r ∧ q) → p,if both r and q then p
(R ∪ R)ᶜ = Rᶜ ∩ Rᶜ,The complement of the union of R and R equals the intersection of their complements
∀x in the natural numbers (Odd(x) → Prime(x)),"for all x in the natural numbers, if Odd(x) then Prime(x)"
"span(u₁, u₂, ..., uₖ)","the span of vectors u1, u2, through uk"
∀x (P(x) ↔ R(x)),"for all x, P(x) if and only if R(x)"
X ⊇ Y,Set X contains set Y
P ∪ T,The union of P and T
w · u,the dot product of vectors w and u
∀a P(a),"for all a, P(a) is true"
S ⊆ V,S is a subset of V
R ⊆ Y,Set R is a subset of set Y
T ⊆ T ∪ A,T is a subset of the union of T and A
"∀z in D, Q(z)","for all z in D, Q(z)"
"∃x, Q(x)",there exists x such that Q(x)
u ⋅ (x + a),the dot product of u with the sum of x and a
uᵢ,the i-th component of vector u
q ∧ r,q and r
q ∧ (r ∨ p),q and either r or p
"∃ S ⊆ A, S ≠ ∅",There exists a subset S of A that is non-empty
C = LLᵀ,matrix C equals L times L transpose
λ3(B),the third eigenvalue of matrix B
k ∈ C \ Z,k is an element of C but not in Z
q ↔ A,q and A have the same truth value
S ⊇ B,Set S contains set B
q ↔ r,q if and only if r
∃x in the integers (Odd(x) ∧ Prime(x)),there exists x in the integers such that both Odd(x) and Prime(x)
m ∉ Q,m is not a member of set Q
∀x R(x),"for every x, R of x holds"
p → (p ∨ q),if p then p or q
"∃x in D, P(x)",there exists x in D such that P(x)
(s ↔ p) ∧ (q ↔ r),"s if and only if p, and q if and only if r"
λ2(C),the second eigenvalue of matrix C
b ∈ W \ C,b is an element of W but not in C
a ∈ Z ∩ T ↔ (a ∈ Z ∧ a ∈ T),a is an element of the intersection of Z and T if and only if a is in both Z and T
log(M),the matrix logarithm of M
∀x (R(x) ∧ S(x)),"for all x, both R(x) and S(x) are true"
a ∈ Rᶜ ↔ a ∉ R,a is an element of the complement of R if and only if a is not in R
∀z (P(z) ∨ Q(z)),"for all z, either P(z) or Q(z) is true"
(q ∧ s),q and s
V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q),Union distributes over intersection: V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q)
