Symbolic_Maths,Natural_Language
e₃,the third standard basis vector
eᵢ,the i-th standard basis vector
î,the unit vector in the x direction
ĵ,the unit vector in the y direction
k̂,the unit vector in the z direction
û,the unit vector u
v̂,the unit vector v
proj_w(v),the projection of v onto w
v · ê,the component of v in direction ê
comp_w(v),the component of v along w
proj_u(v),the projection of v onto u
comp_u(v),the component of v along u
proj_x(v),the projection of v onto x
comp_x(v),the component of v along x
proj_u(w),the projection of w onto u
w · ê,the component of w in direction ê
comp_u(w),the component of w along u
proj_x(w),the projection of w onto x
comp_x(w),the component of w along x
proj_x(u),the projection of u onto x
u · ê,the component of u in direction ê
comp_x(u),the component of u along x
A²,matrix A squared
A³,matrix A cubed
Aⁿ,matrix A to the power n
A⁻²,the inverse of A squared
exp(A),the matrix exponential of A
e^A,the matrix exponential of A
log(A),the matrix logarithm of A
√A,the matrix square root of A
nullity(A),the nullity of matrix A
tr(A²),the trace of A squared
det(A²),the determinant of A squared
B²,matrix B squared
B³,matrix B cubed
Bⁿ,matrix B to the power n
B⁻²,the inverse of B squared
exp(B),the matrix exponential of B
e^B,the matrix exponential of B
log(B),the matrix logarithm of B
√B,the matrix square root of B
rank(B),the rank of matrix B
nullity(B),the nullity of matrix B
tr(B²),the trace of B squared
det(B²),the determinant of B squared
C²,matrix C squared
C³,matrix C cubed
Cⁿ,matrix C to the power n
C⁻²,the inverse of C squared
exp(C),the matrix exponential of C
e^C,the matrix exponential of C
log(C),the matrix logarithm of C
√C,the matrix square root of C
rank(C),the rank of matrix C
nullity(C),the nullity of matrix C
tr(C²),the trace of C squared
det(C²),the determinant of C squared
M²,matrix M squared
M³,matrix M cubed
Mⁿ,matrix M to the power n
M⁻²,the inverse of M squared
exp(M),the matrix exponential of M
e^M,the matrix exponential of M
log(M),the matrix logarithm of M
√M,the matrix square root of M
rank(M),the rank of matrix M
nullity(M),the nullity of matrix M
tr(M²),the trace of M squared
det(M²),the determinant of M squared
[A | B],the augmented matrix A augmented with B
[A; B],matrix A stacked above matrix B
"block diag(A₁, A₂, A₃)","the block diagonal matrix with blocks A1, A2, and A3"
"diag(a₁, a₂, ..., aₙ)","the diagonal matrix with diagonal entries a1, a2, through an"
"{v₁, v₂, v₃} is linearly independent","the vectors {v₁, v₂, v₃} are linearly independent"
"{v₁, v₂, v₃} is linearly dependent","the vectors {v₁, v₂, v₃} are linearly dependent"
"span{v₁, v₂, v₃}","the span of vectors {v₁, v₂, v₃}"
"⟨{v₁, v₂, v₃}⟩","the subspace generated by vectors {v₁, v₂, v₃}"
"{u₁, u₂, ..., uₙ} is linearly independent","the vectors {u₁, u₂, ..., uₙ} are linearly independent"
"{u₁, u₂, ..., uₙ} is linearly dependent","the vectors {u₁, u₂, ..., uₙ} are linearly dependent"
"span{u₁, u₂, ..., uₙ}","the span of vectors {u₁, u₂, ..., uₙ}"
"⟨{u₁, u₂, ..., uₙ}⟩","the subspace generated by vectors {u₁, u₂, ..., uₙ}"
"{w₁, w₂} is linearly independent","the vectors {w₁, w₂} are linearly independent"
"{w₁, w₂} is linearly dependent","the vectors {w₁, w₂} are linearly dependent"
"span{w₁, w₂}","the span of vectors {w₁, w₂}"
"⟨{w₁, w₂}⟩","the subspace generated by vectors {w₁, w₂}"
dim(V) = n,the dimension of vector space V is n
basis for V,a basis for vector space V
standard basis for ℝⁿ,the standard basis for n-dimensional real space
"{v₁, v₂, ..., vₙ} forms a basis","the vectors v1, v2, through vn form a basis"
[v]_B,the coordinate vector of v with respect to basis B
[v]_S,the coordinate vector of v with respect to basis S
P_{B←S},the change of basis matrix from S to B
change of basis matrix,the change of basis matrix
coordinate transformation,a coordinate transformation
dA/dt,the derivative of matrix A with respect to t
∂A/∂t,the partial derivative of matrix A with respect to t
∇f(x),the gradient of f at x
∇²f(x),the Hessian of f at x
Df(x),the derivative of f at x
Jf(x),the Jacobian of f at x
dB/dt,the derivative of matrix B with respect to t
∂B/∂t,the partial derivative of matrix B with respect to t
dC/dt,the derivative of matrix C with respect to t
∂C/∂t,the partial derivative of matrix C with respect to t
v ⊗ w,the tensor product of v and w
v ⊗ w ⊗ y,"the tensor product of v, w, and y"
v ⊗ u,the tensor product of v and u
v ⊗ u ⊗ y,"the tensor product of v, u, and y"
w ⊗ u,the tensor product of w and u
w ⊗ u ⊗ y,"the tensor product of w, u, and y"
σ₁(A) ≥ σ₂(A) ≥ ... ≥ σᵣ(A),the singular values of A in descending order
λₘₐₓ(A),the largest eigenvalue of A
λₘᵢₙ(A),the smallest eigenvalue of A
tr(A) = Σλᵢ,the trace of A equals the sum of its eigenvalues
det(A) = Πλᵢ,the determinant of A equals the product of its eigenvalues
σ₁(B) ≥ σ₂(B) ≥ ... ≥ σᵣ(B),the singular values of B in descending order
λₘₐₓ(B),the largest eigenvalue of B
λₘᵢₙ(B),the smallest eigenvalue of B
tr(B) = Σλᵢ,the trace of B equals the sum of its eigenvalues
det(B) = Πλᵢ,the determinant of B equals the product of its eigenvalues
σ₁(C) ≥ σ₂(C) ≥ ... ≥ σᵣ(C),the singular values of C in descending order
λₘₐₓ(C),the largest eigenvalue of C
λₘᵢₙ(C),the smallest eigenvalue of C
tr(C) = Σλᵢ,the trace of C equals the sum of its eigenvalues
det(C) = Πλᵢ,the determinant of C equals the product of its eigenvalues
∇²f(x) ≻ 0,the Hessian of f at x is positive definite
∇²f(x) ⪰ 0,the Hessian of f at x is positive semidefinite
A ≻ 0,matrix A is positive definite
A ⪰ 0,matrix A is positive semidefinite
A ≺ 0,matrix A is negative definite
A ⪯ 0,matrix A is negative semidefinite
lim_{n→∞} Aⁿ,the limit of A to the power n as n approaches infinity
‖A‖₂ = σₘₐₓ(A),the 2-norm of A equals the largest singular value of A
cond₂(A) = σₘₐₓ/σₘᵢₙ,the 2-norm condition number equals the ratio of largest to smallest singular values
f: V → ℝ,f is a linear functional from V to the reals
V*,the dual space of V
"⟨f, v⟩",the dual pairing of f and v
annihilator of S,the annihilator of set S
(v + w) ⋅ a,the dot product of the sum of v and w with a
v ⋅ (w + a),the dot product of v with the sum of w and a
(v - w) × a,the cross product of the difference of v and w with a
‖v + w‖²,the squared norm of the sum of v and w
‖v‖ + ‖w‖,the sum of the norms of v and w
(v + w) ⋅ b,the dot product of the sum of v and w with b
v ⋅ (w + b),the dot product of v with the sum of w and b
(v - w) × b,the cross product of the difference of v and w with b
(v + u) ⋅ a,the dot product of the sum of v and u with a
v ⋅ (u + a),the dot product of v with the sum of u and a
(v - u) × a,the cross product of the difference of v and u with a
‖v + u‖²,the squared norm of the sum of v and u
‖v‖ + ‖u‖,the sum of the norms of v and u
(v + u) ⋅ b,the dot product of the sum of v and u with b
v ⋅ (u + b),the dot product of v with the sum of u and b
(v - u) × b,the cross product of the difference of v and u with b
(v + x) ⋅ a,the dot product of the sum of v and x with a
v ⋅ (x + a),the dot product of v with the sum of x and a
(v - x) × a,the cross product of the difference of v and x with a
‖v + x‖²,the squared norm of the sum of v and x
‖v‖ + ‖x‖,the sum of the norms of v and x
(v + x) ⋅ b,the dot product of the sum of v and x with b
v ⋅ (x + b),the dot product of v with the sum of x and b
(v - x) × b,the cross product of the difference of v and x with b
(v + y) ⋅ a,the dot product of the sum of v and y with a
v ⋅ (y + a),the dot product of v with the sum of y and a
(v - y) × a,the cross product of the difference of v and y with a
‖v + y‖²,the squared norm of the sum of v and y
‖v‖ + ‖y‖,the sum of the norms of v and y
(v + y) ⋅ b,the dot product of the sum of v and y with b
v ⋅ (y + b),the dot product of v with the sum of y and b
(v - y) × b,the cross product of the difference of v and y with b
(v + z) ⋅ a,the dot product of the sum of v and z with a
v ⋅ (z + a),the dot product of v with the sum of z and a
(v - z) × a,the cross product of the difference of v and z with a
‖v + z‖²,the squared norm of the sum of v and z
‖v‖ + ‖z‖,the sum of the norms of v and z
(v + z) ⋅ b,the dot product of the sum of v and z with b
v ⋅ (z + b),the dot product of v with the sum of z and b
(v - z) × b,the cross product of the difference of v and z with b
(w + u) ⋅ a,the dot product of the sum of w and u with a
w ⋅ (u + a),the dot product of w with the sum of u and a
(w - u) × a,the cross product of the difference of w and u with a
‖w + u‖²,the squared norm of the sum of w and u
‖w‖ + ‖u‖,the sum of the norms of w and u
(w + u) ⋅ b,the dot product of the sum of w and u with b
w ⋅ (u + b),the dot product of w with the sum of u and b
(w - u) × b,the cross product of the difference of w and u with b
(w + x) ⋅ a,the dot product of the sum of w and x with a
w ⋅ (x + a),the dot product of w with the sum of x and a
(w - x) × a,the cross product of the difference of w and x with a
‖w + x‖²,the squared norm of the sum of w and x
‖w‖ + ‖x‖,the sum of the norms of w and x
(w + x) ⋅ b,the dot product of the sum of w and x with b
w ⋅ (x + b),the dot product of w with the sum of x and b
(w - x) × b,the cross product of the difference of w and x with b
(w + y) ⋅ a,the dot product of the sum of w and y with a
w ⋅ (y + a),the dot product of w with the sum of y and a
(w - y) × a,the cross product of the difference of w and y with a
‖w + y‖²,the squared norm of the sum of w and y
‖w‖ + ‖y‖,the sum of the norms of w and y
(w + y) ⋅ b,the dot product of the sum of w and y with b
w ⋅ (y + b),the dot product of w with the sum of y and b
(w - y) × b,the cross product of the difference of w and y with b
(w + z) ⋅ a,the dot product of the sum of w and z with a
w ⋅ (z + a),the dot product of w with the sum of z and a
(w - z) × a,the cross product of the difference of w and z with a
‖w + z‖²,the squared norm of the sum of w and z
‖w‖ + ‖z‖,the sum of the norms of w and z
(w + z) ⋅ b,the dot product of the sum of w and z with b
w ⋅ (z + b),the dot product of w with the sum of z and b
(w - z) × b,the cross product of the difference of w and z with b
(u + x) ⋅ a,the dot product of the sum of u and x with a
u ⋅ (x + a),the dot product of u with the sum of x and a
(u - x) × a,the cross product of the difference of u and x with a
‖u + x‖²,the squared norm of the sum of u and x
‖u‖ + ‖x‖,the sum of the norms of u and x
(u + x) ⋅ b,the dot product of the sum of u and x with b
u ⋅ (x + b),the dot product of u with the sum of x and b
(u - x) × b,the cross product of the difference of u and x with b
(kA)ᵀ,the transpose of k times matrix A
det(kA),the determinant of k times matrix A
tr(kA),the trace of k times matrix A
(kA)⁻¹,the inverse of k times matrix A
(cA)ᵀ,the transpose of c times matrix A
det(cA),the determinant of c times matrix A
tr(cA),the trace of c times matrix A
(cA)⁻¹,the inverse of c times matrix A
(αA)ᵀ,the transpose of α times matrix A
det(αA),the determinant of α times matrix A
tr(αA),the trace of α times matrix A
(αA)⁻¹,the inverse of α times matrix A
(kB)ᵀ,the transpose of k times matrix B
det(kB),the determinant of k times matrix B
tr(kB),the trace of k times matrix B
(kB)⁻¹,the inverse of k times matrix B
(cB)ᵀ,the transpose of c times matrix B
det(cB),the determinant of c times matrix B
tr(cB),the trace of c times matrix B
(cB)⁻¹,the inverse of c times matrix B
(αB)ᵀ,the transpose of α times matrix B
det(αB),the determinant of α times matrix B
tr(αB),the trace of α times matrix B
(αB)⁻¹,the inverse of α times matrix B
(kC)ᵀ,the transpose of k times matrix C
det(kC),the determinant of k times matrix C
tr(kC),the trace of k times matrix C
(kC)⁻¹,the inverse of k times matrix C
(cC)ᵀ,the transpose of c times matrix C
det(cC),the determinant of c times matrix C
tr(cC),the trace of c times matrix C
(cC)⁻¹,the inverse of c times matrix C
(αC)ᵀ,the transpose of α times matrix C
det(αC),the determinant of α times matrix C
tr(αC),the trace of α times matrix C
(αC)⁻¹,the inverse of α times matrix C
(kM)ᵀ,the transpose of k times matrix M
det(kM),the determinant of k times matrix M
tr(kM),the trace of k times matrix M
(kM)⁻¹,the inverse of k times matrix M
(cM)ᵀ,the transpose of c times matrix M
det(cM),the determinant of c times matrix M
tr(cM),the trace of c times matrix M
(cM)⁻¹,the inverse of c times matrix M
(αM)ᵀ,the transpose of α times matrix M
det(αM),the determinant of α times matrix M
tr(αM),the trace of α times matrix M
(αM)⁻¹,the inverse of α times matrix M
(A + B)ᵀ,the transpose of the sum of matrices A and B
(AB)ᵀ,the transpose of the product of matrices A and B
det(A + B),the determinant of the sum of matrices A and B
tr(A + B),the trace of the sum of matrices A and B
(A + B)⁻¹,the inverse of the sum of matrices A and B
(A + C)ᵀ,the transpose of the sum of matrices A and C
(AC)ᵀ,the transpose of the product of matrices A and C
det(A + C),the determinant of the sum of matrices A and C
tr(A + C),the trace of the sum of matrices A and C
(A + C)⁻¹,the inverse of the sum of matrices A and C
(A + M)ᵀ,the transpose of the sum of matrices A and M
(AM)ᵀ,the transpose of the product of matrices A and M
det(A + M),the determinant of the sum of matrices A and M
tr(A + M),the trace of the sum of matrices A and M
(A + M)⁻¹,the inverse of the sum of matrices A and M
(B + C)ᵀ,the transpose of the sum of matrices B and C
(BC)ᵀ,the transpose of the product of matrices B and C
det(B + C),the determinant of the sum of matrices B and C
tr(B + C),the trace of the sum of matrices B and C
(B + C)⁻¹,the inverse of the sum of matrices B and C
(B + M)ᵀ,the transpose of the sum of matrices B and M
(BM)ᵀ,the transpose of the product of matrices B and M
det(B + M),the determinant of the sum of matrices B and M
tr(B + M),the trace of the sum of matrices B and M
(B + M)⁻¹,the inverse of the sum of matrices B and M
(C + M)ᵀ,the transpose of the sum of matrices C and M
(CM)ᵀ,the transpose of the product of matrices C and M
det(C + M),the determinant of the sum of matrices C and M
tr(C + M),the trace of the sum of matrices C and M
(C + M)⁻¹,the inverse of the sum of matrices C and M
λ1(A),the first eigenvalue of matrix A
v1(A),the first eigenvector of matrix A
σ1(A),the first singular value of matrix A
λ2(A),the second eigenvalue of matrix A
v2(A),the second eigenvector of matrix A
σ2(A),the second singular value of matrix A
λ3(A),the third eigenvalue of matrix A
v3(A),the third eigenvector of matrix A
σ3(A),the third singular value of matrix A
λ1(B),the first eigenvalue of matrix B
v1(B),the first eigenvector of matrix B
σ1(B),the first singular value of matrix B
λ2(B),the second eigenvalue of matrix B
v2(B),the second eigenvector of matrix B
σ2(B),the second singular value of matrix B
λ3(B),the third eigenvalue of matrix B
v3(B),the third eigenvector of matrix B
σ3(B),the third singular value of matrix B
λ1(C),the first eigenvalue of matrix C
v1(C),the first eigenvector of matrix C
σ1(C),the first singular value of matrix C
λ2(C),the second eigenvalue of matrix C
v2(C),the second eigenvector of matrix C
σ2(C),the second singular value of matrix C
λ3(C),the third eigenvalue of matrix C
v3(C),the third eigenvector of matrix C
σ3(C),the third singular value of matrix C
p_A(λ),the characteristic polynomial of matrix A
det(A - λI),the characteristic polynomial of matrix A
p_A(λ) = 0,the characteristic equation of matrix A
p_B(λ),the characteristic polynomial of matrix B
det(B - λI),the characteristic polynomial of matrix B
p_B(λ) = 0,the characteristic equation of matrix B
p_C(λ),the characteristic polynomial of matrix C
det(C - λI),the characteristic polynomial of matrix C
p_C(λ) = 0,the characteristic equation of matrix C
T: ℝⁿ → ℝᵐ,T is a linear transformation from n-dimensional to m-dimensional real space
ker(T),the kernel of linear transformation T
im(T),the image of linear transformation T
null(T),the null space of linear transformation T
range(T),the range of linear transformation T
rank(T),the rank of linear transformation T
nullity(T),the nullity of linear transformation T
T(v + w),T applied to the sum of v and w
T(cv),T applied to c times v
L: ℝⁿ → ℝᵐ,L is a linear transformation from n-dimensional to m-dimensional real space
ker(L),the kernel of linear transformation L
im(L),the image of linear transformation L
null(L),the null space of linear transformation L
range(L),the range of linear transformation L
rank(L),the rank of linear transformation L
nullity(L),the nullity of linear transformation L
L(v + w),L applied to the sum of v and w
L(cv),L applied to c times v
f: ℝⁿ → ℝᵐ,f is a linear transformation from n-dimensional to m-dimensional real space
ker(f),the kernel of linear transformation f
im(f),the image of linear transformation f
null(f),the null space of linear transformation f
range(f),the range of linear transformation f
rank(f),the rank of linear transformation f
nullity(f),the nullity of linear transformation f
f(v + w),f applied to the sum of v and w
f(cv),f applied to c times v
U ⊆ ℝⁿ,U is a subspace of n-dimensional real space
dim(U),the dimension of subspace U
U ∩ V,the intersection of subspaces U and V
U + V,the sum of subspaces U and V
U ⊕ V,the direct sum of subspaces U and V
U⊥,the orthogonal complement of subspace U
V ⊆ ℝⁿ,V is a subspace of n-dimensional real space
dim(V),the dimension of subspace V
V ∩ V,the intersection of subspaces V and V
V + V,the sum of subspaces V and V
V ⊕ V,the direct sum of subspaces V and V
V⊥,the orthogonal complement of subspace V
W ⊆ ℝⁿ,W is a subspace of n-dimensional real space
dim(W),the dimension of subspace W
W ∩ V,the intersection of subspaces W and V
W + V,the sum of subspaces W and V
W ⊕ V,the direct sum of subspaces W and V
W⊥,the orthogonal complement of subspace W
S ⊆ ℝⁿ,S is a subspace of n-dimensional real space
dim(S),the dimension of subspace S
S ∩ V,the intersection of subspaces S and V
S + V,the sum of subspaces S and V
S ⊕ V,the direct sum of subspaces S and V
S⊥,the orthogonal complement of subspace S
U ⊕ V = W,the direct sum of U and V equals W
V ⊕ V⊥ = ℝⁿ,V direct sum with its orthogonal complement equals n-dimensional real space
dim(U ⊕ V) = dim(U) + dim(V),the dimension of the direct sum equals the sum of dimensions
