Symbolic_Maths,Natural_Language
∀x ∀y (f(x) = f(y) → x = y),"for all x and y, if f(x) equals f(y) then x equals y"
"⟨v, x⟩",the inner product of v and x
t → p,if t then p
p → s,if p then s
(C - λI)u = 0,matrix C minus λ times the identity matrix times vector u equals zero
∃!t R(t),there exists a unique t such that R(t)
(q ∧ p) → r,if both q and p then r
tr(cC),the trace of c times matrix C
∃x in the integers Even(x),there exists x in the integers such that Even(x)
"∀z in D, Q(z)","for all z in D, Q(z)"
‖C‖,the norm of matrix C
tr(C),the trace of matrix C
M ∈ ℝᵐˣⁿ,matrix M is an m by n real matrix
(A + C)ᵀ,the transpose of the sum of matrices A and C
∃x in the real numbers Prime(x),there exists x in the real numbers such that Prime(x)
A ∧ ¬A,A and not A is a contradiction
u ⋅ (x + b),the dot product of u with the sum of x and b
vᵀw,the transpose of v times w
r → (p → (s → q)),if r then if p then if s then q
w + x + a,"the sum of vectors w, x, and a"
∀x (Q(x) → S(x)),"for all x, if Q(x) then S(x)"
(q ∨ t),q or t
(αC)ᵀ,the transpose of α times matrix C
p ∧ ¬p,p and not p is a contradiction
∀x (P(x) ↔ x = a),"for all x, P(x) if and only if x equals a"
∃y (Q(y) ∨ R(y)),there exists y such that either Q(y) or R(y) is true
B = M,matrix B equals matrix M
∀a P(a),"for every a, P of a holds"
"∃a in the domain, Q(a)",there exists a in the domain such that Q(a)
"∀x ∀y Loves(x, y)","for all x and y, Loves(x, y) holds"
exp(C),the matrix exponential of C
|z|,the magnitude of vector z
"∃x ∃y Loves(x, y)","there exist x and y such that Loves(x, y) holds"
Mv = λv,matrix M times vector v equals λ times vector v
p ∧ s,p and s
‖w‖,the norm of vector w
p ↔ r,p and r have the same truth value
∀z (Q(z) ∧ S(z)),"for all z, both Q(z) and S(z) are true"
¬¬p ↔ p,the negation of not p is equivalent to p
M = LLᵀ,matrix M equals L times L transpose
pinv(B),the pseudoinverse of matrix B
(q ∨ p) ∧ (s ∨ r),"either q or p, and either s or r"
(p ∨ s) ∧ (r ∨ q),"either p or s, and either r or q"
‖w‖₂,the Euclidean norm of vector w
∃!z Q(z),there exists one and only one z such that Q(z)
∃z (Q(z) ∨ R(z)),there exists z such that either Q(z) or R(z) is true
t → A,if t then A
ACᵀ,matrix A times the transpose of C
det(C - μI) = 0,the determinant of matrix C minus μ times the identity equals zero
w - x,the difference of vectors w and x
∃!x S(x),there exists a unique x such that S(x) is true
"∀x ∀y T(x, y)","for all x and y, T(x, y) holds"
"∃y, P(y)",there exists y such that P(y)
p_A(λ) = 0,the characteristic equation of matrix A
(p ∨ q),p or q
"∀x ∃y Q(x, y)","for all x, there exists y such that Q(x, y) is true"
exp(A),the matrix exponential of A
∃a P(a),there is some a for which P of a holds
s ↔ t,s is equivalent to t
¬(A ∨ ¬A),not A or not A is a contradiction
A + B,the sum of matrices A and B
"∀x ∀y Q(x, y)","for all x and for all y, Q(x, y) is true"
"(v₁, v₂, v₃)","the vector with components v1, v2, and v3"
v + x,the sum of vectors v and x
‖w‖ + ‖z‖,the sum of the norms of w and z
(A - λI)u = 0,matrix A minus λ times the identity matrix times vector u equals zero
q ↔ A,q is equivalent to A
∃x (Q(x) ∧ R(x)),there exists x such that both Q(x) and R(x) are true
range(L),the range of linear transformation L
∀y in the domain P(y),"for every y in the domain, P of y holds"
‖u‖,the norm of vector u
"∀z ∀a R(z, a)","for all z and for all a, R(z, a) is true"
det(AM),the determinant of the product of matrices A and M
Bv,matrix B times vector v
p → t,if p then t
∀x in the domain Q(x),"for every x in the domain, Q of x holds"
p ∨ q,either p or q
(A → q) ∧ (A ∧ ¬q),"if A then q, and A and not q, is a contradiction"
q ∧ t,q and t
C · x,matrix C applied to vector x
0,the zero matrix
∃!x Q(x),there exists a unique x such that Q(x) is true
s → (r → (p → q)),if s then if r then if p then q
v3(C),the third eigenvector of matrix C
(p ∨ t),p or t
∃x in set S (Prime(x) ∧ Positive(x)),there exists x in set S such that both Prime(x) and Positive(x)
(s ∨ r) ∧ (p ∨ q),"either s or r, and either p or q"
(v - y) × b,the cross product of the difference of v and y with b
(q ↔ r) ∧ (p ↔ s),"q if and only if r, and p if and only if s"
"∃z in D, P(z)",there exists z in D such that P(z)
(v + x) ⋅ b,the dot product of the sum of v and x with b
"∃x ∃z P(x, z)","there exist x and z such that P(x, z) is true"
v ⊗ w,the tensor product of v and w
∃!z P(z),there exists one and only one z such that P(z)
‖x‖∞,the infinity norm of vector x
"∀y ∀z P(y, z)","for all y and for all z, P(y, z) is true"
vᵀy,the transpose of v times y
T(w),the linear transformation T applied to vector w
(q ∨ r) ∧ (p ∨ s),"either q or r, and either p or s"
v3(A),the third eigenvector of matrix A
ℂ³,the 3-dimensional complex coordinate space
q → A,if q is true then A is true
¬(A ∨ B ∨ C) ↔ (¬A ∧ ¬B ∧ ¬C),"not any of A, B, oC C is eBuivalent to not A, and not B, and not C"
(A + B)ᵀ,the transpose of the sum of matrices A and B
B is lower triangular,matrix B is lower triangular
(w + y) ⋅ b,the dot product of the sum of w and y with b
¬(A ∨ B) ↔ (¬A ∧ ¬B),the negation of A or B is equivalent to not A and not B
∀x in the real numbers (Even(x) → Odd(x)),"for all x in the real numbers, if Even(x) then Odd(x)"
"∃a in the domain, P(a)",there exists a in the domain such that P(a)
(t ↔ s) ↔ ((t ∧ s) ∨ (¬t ∧ ¬s)),"t if and only if s is esuivalent to both t and s, ot neithet t not s"
s ∨ t,either s or t
(q ∧ s) → (p ∨ r),if both q and s then either p or r
w ⋅ (u + b),the dot product of w with the sum of u and b
T(u),the linear transformation T applied to vector u
"[y₁, y₂, y₃]","the vector with components y1, y2, and y3"
"∀a in the domain, P(a)","for all a in the domain, P(a)"
q → A,q implies A
∀z in the domain P(z),"for all z in the domain, P(z) is true"
r → p,r implies p
∃x P(x),there exists x such that P(x) is true
(r ∧ s) → (p ∨ q),if both r and s then either p or q
‖v‖ + ‖y‖,the sum of the norms of v and y
[B]ᵢⱼ,the i j entry of matrix B
(p ∨ s),p or s
¬∃x Q(x) ↔ ∀x ¬Q(x),not there exists x Q(x) is equivalent to for all x not Q(x)
r → s,if r is true then s is true
q ∨ s,q is true or s is true
Bᵢⱼ,the entry in row i and column j of matrix B
S + V,the sum of subspaces S and V
∀x (P(x) ∧ R(x)),"for all x, both P(x) and R(x) are true"
(r ∨ p) ∧ (q ∨ s),"either r or p, and either q or s"
∀z (P(z) ∨ Q(z)),"for all z, either P(z) or Q(z) is true"
u ∥ x,vector u is parallel to vector x
Bx,matrix B times vector x
p ∧ ⊥ ↔ ⊥,p and false is equivalent to false
M ∈ ℝⁿˣⁿ,matrix M is an n by n real matrix
[A | B],the augmented matrix A augmented with B
∀x (P(x) → Q) ↔ (∃x P(x) → Q),for all x if P(x) then Q is equivalent to if there exists x P(x) then Q
‖x‖,the norm of vector x
(w + y) ⋅ a,the dot product of the sum of w and y with a
(q ↔ p) ∧ (r ↔ s),"q if and only if p, and r if and only if s"
|x|,the magnitude of vector x
|v|,the magnitude of vector v
"∀x ∃y T(x, y)","for all x, there exists y such that T(x, y) holds"
q → p,q implies p
‖w‖ₚ,the p-norm of vector w
(w + x) ⋅ a,the dot product of the sum of w and x with a
u + x + a,"the sum of vectors u, x, and a"
A ≈ C,matrix A is approximately equal to matrix C
det(P),the determinant of matrix P
p → A,p implies A
det(AP),the determinant of the product of matrices A and P
(v + w) ⋅ b,the dot product of the sum of v and w with b
dA/dt,the derivative of matrix A with respect to t
A = C,matrix A equals matrix C
"(v, w)",the inner product of v and w
uᵀy,the transpose of u times y
trace(C),the trace of matrix C
Cu,matrix C times vector u
AM,the product of matrices A and M
‖u‖ₚ,the p-norm of vector u
"∀x ∃y R(x, y)","for all x, there exists y such that R(x, y) is true"
B³,matrix B cubed
det(A + B),the determinant of the sum of matrices A and B
C = UΣVᵀ,matrix C equals U times Sigma times V transpose
r ↔ t,r and t have the same truth value
¬B,not B
(w + u) ⋅ a,the dot product of the sum of w and u with a
"∃x ∃y R(x, y)","there exist x and y such that R(x, y) holds"
B = LU,matrix B equals L times U
∀a Q(a),"for all a, Q(a) is true"
p ∧ q,both p and q
∃y (R(y) ∨ S(y)),there exists y such that either R(y) or S(y) is true
q → r,if q is true then r is true
∃x (P(x) ∨ Q(x)),there exists x such that either P(x) or Q(x) is true
"diag(a₁, a₂, ..., aₙ)","the diagonal matrix with diagonal entries a1, a2, through an"
C†,the pseudoinverse of matrix C
r ↔ s,r is equivalent to s
M is positive definite,matrix M is positive definite
q → (p ∨ r),if q then either p or r
‖v‖ + ‖w‖,the sum of the norms of v and w
P₃₃,the 3 by 3 matrix P
T(cv),T applied to c times v
"∃y ∃a R(y, a)","there exist y and a such that R(y, a) is true"
Bw = x,the linear system B times w equals x
‖B‖_F,the Frobenius norm of matrix B
(q ∧ s) → (r ∨ p),if both q and s then either r or p
∃y (P(y) → R(y)),there exists y such that if P(y) then R(y)
(q ∧ r) → p,if both q and r then p
CᵀMᵀ,the transpose of C times the transpose of M
p ↔ s,p if and only if s
v · ê,the component of v in direction ê
tr(M),the trace of matrix M
∃!y Q(y),there exists a unique y such that Q(y)
q ∨ s,q or s
B ∈ ℝⁿˣⁿ,matrix B is an n by n real matrix
(cC)ᵀ,the transpose of c times matrix C
‖z‖∞,the infinity norm of vector z
∀z (Q(z) → R(z)),"for all z, if Q(z) then R(z)"
"∃y ∃z P(y, z)","there exist y and z such that P(y, z) is true"
A → q,A implies q
"∃y ∃a Q(y, a)","there exist y and a such that Q(y, a) is true"
B = C,matrix B equals matrix C
((p → q) ∧ ¬q) → ¬p,"if p implies q and not q, then not p"
p ∧ ¬p ↔ ⊥,p and not p is equivalent to false
‖B‖,the norm of matrix B
u ∈ ℝⁿ,vector u is in the n-dimensional real space
proj_x(v),the projection of v onto x
A = QR,matrix A equals Q times R
∃x in set S (Positive(x) ∧ Even(x)),there exists x in set S such that both Positive(x) and Even(x)
∃x in the natural numbers Odd(x),there exists x in the natural numbers such that Odd(x)
v + w,the sum of vectors v and w
((P → Q) ∧ P) → Q,"if P imPlies Q and P, then Q"
w ⋅ (u + a),the dot product of w with the sum of u and a
C is orthogonal,matrix C is orthogonal
‖C‖*,the nuclear norm of matrix C
∀y in the domain Q(y),"for all y in the domain, Q(y) is true"
A → s,if A then s
"∀x ∃a R(x, a)","for all x, there exists a such that R(x, a) is true"
"⟨{u₁, u₂, ..., uₙ}⟩","the subspace generated by vectors {u₁, u₂, ..., uₙ}"
∃x in the domain Q(x),there exists x in the domain such that Q(x) is true
t → (s ∨ t) ↔ (t → s) ∨ (t → t),"if t then s ot t is esuivalent to if t then s, ot if t then t"
"⟨w, u⟩",the inner product of vectors w and u
∀x (P(x) ∨ Q(x)),"for all x, either P(x) or Q(x) is true"
kC,the scalar k times matrix C
∃!y P(y),there is exactly one y for which P of y holds
∀y (R(y) → S(y)),"for all y, if R(y) then S(y)"
BᵀC,the transpose of B times C
"∃x (F(x) ∧ ∀y H(x, y))","there exists x such that F(x) and for all y, H(x, y)"
P_{B←S},the change of basis matrix from S to B
∀y (Q(y) ∧ S(y)),"for all y, both Q(y) and S(y) are true"
"d(v, u)",the distance between vectors v and u
B ≈ P,matrix B is approximately equal to matrix P
"∀y in D, P(y)","for all y in D, P(y)"
t ∨ A,either t or A
B is diagonal,matrix B is diagonal
dB/dt,the derivative of matrix B with respect to t
det(kM),the determinant of k times matrix M
trace(B),the trace of matrix B
"∀x S(x, x)","for all x, S(x, x) holds"
(v + z) ⋅ a,the dot product of the sum of v and z with a
¬A,the negation of A
‖z‖₂,the Euclidean norm of vector z
"x = [x₁, x₂, x₃]","the vector x with components x1, x2, and x3"
det(cB),the determinant of c times matrix B
q ∧ t,q is true and t is true
v̂,the unit vector v
det(M²),the determinant of M squared
∃z in the domain P(z),there is some z in the domain for which P of z holds
Cw = μw,matrix C times vector w equals μ times vector w
f(cv),f applied to c times v
Mₘₙ,the m by n matrix M
r → A,if r then A
"∃z in the domain, Q(z)",there exists z in the domain such that Q(z)
A - B,the difference of matrices A and B
tr(P),the trace of matrix P
A⁻¹,the inverse of matrix A
A is lower triangular,matrix A is lower triangular
q ↔ r,q is equivalent to r
¬p,the negation of p
v ⋅ (u + a),the dot product of v with the sum of u and a
q ∧ s,both q and s
Au = x,the linear system A times u equals x
Cᵀ,the transpose of matrix C
r ↔ s,r and s have the same truth value
Cᵀᵀ,the transpose of the transpose of matrix C
v3(B),the third eigenvector of matrix B
(p ∨ r) → q,if either p or r then q
xᵀAx,the quadratic form x transpose A x
Q*,the conjugate transpose of matrix Q
∀a in the domain P(a),"for all a in the domain, P(a) is true"
"∀y in D, Q(y)","for all y in D, Q(y)"
"[z₁, z₂, z₃]","the vector with components z1, z2, and z3"
C · M,the product of matrices C and M
¬t,the negation of t
(A ↔ B) ↔ ((A ∧ B) ∨ (¬A ∧ ¬B)),"A if and only if B is eBuivalent to both A and B, oC neitheC A noC B"
∃!x P(x),there is exactly one x for which P of x holds
∃z (P(z) ∨ Q(z)),there exists z such that either P(z) or Q(z) is true
∀x P(x) ∧ Q(y),for all x P(x) and Q(y)
(u + x) ⋅ b,the dot product of the sum of u and x with b
I₃,the 3 by 3 identity matrix
∃z in the domain Q(z),there exists z in the domain such that Q(z) is true
(kM)⁻¹,the inverse of k times matrix M
r ↔ A,r is equivalent to A
Aⁿ,matrix A to the power n
|AC|,the determinant of the product of matrices A and C
A - C,the difference of matrices A and C
∃x in the real numbers (Odd(x) ∧ Prime(x)),there exists x in the real numbers such that both Odd(x) and Prime(x)
v ∈ ℝ³,vector v is in 3-dimensional real space
"∃y in D, P(y)",there exists y in D such that P(y)
∀x in the domain D (Prime(x) → Positive(x)),"for all x in the domain D, if Prime(x) then Positive(x)"
"∀y in the domain, Q(y)","for all y in the domain, Q(y)"
(p ∧ q) ∨ r,"either both p and q, or r"
(s ∧ r) → (p ∨ q),if both s and r then either p or q
(r ∧ p) → (s ∨ q),if both r and p then either s or q
p ∨ A,p or A
"∃x ∃y S(x, y)","there exist x and y such that S(x, y) holds"
∃z Q(z),there is some z for which Q of z holds
(r ↔ s) ∧ (q ↔ p),"r if and only if s, and q if and only if p"
p → s,p entails s
(αB)⁻¹,the inverse of α times matrix B
¬(p ∧ r) ∨ ¬(q ∧ s),"not both p and r, or not both q and s"
cv,the scalar c times vector v
p_C(λ),the characteristic polynomial of matrix C
C is invertible,matrix C is invertible
∀x (P(x) ∨ R(x)),"for all x, either P(x) or R(x) is true"
B + M,the sum of matrices B and M
∃z Q(z),there exists z such that Q(z) is true
αw,the scalar alpha times vector w
P ∈ ℝᵐˣⁿ,matrix P is an m by n real matrix
∀x in set S (Odd(x) → Prime(x)),"for all x in set S, if Odd(x) then Prime(x)"
U⊥,the orthogonal complement of subspace U
(r ↔ p) ∧ (q ↔ s),"r if and only if p, and q if and only if s"
∀x in set S Prime(x),"for all x in set S, Prime(x)"
∃!z R(z),there exists a unique z such that R(z) is true
∃y in D P(y),there exists y in D such that P(y) is true
∀z (P(z) → R(z)),"for all z, if P(z) then R(z)"
(s ↔ p) ∧ (r ↔ q),"s if and only if p, and r if and only if q"
q → (s → (r → p)),if q then if s then if r then p
‖w + y‖²,the squared norm of the sum of w and y
q ∧ (r ∨ p),q and either r or p
trace(A),the trace of matrix A
∃z (P(z) ∧ R(z)),there exists z such that both P(z) and R(z) are true
‖A‖∞,the infinity norm of matrix A
C⁻²,the inverse of C squared
Ax = 0,the homogeneous linear system A times x equals zero
v ⋅ (u + b),the dot product of v with the sum of u and b
∀x in the integers (Odd(x) → Prime(x)),"for all x in the integers, if Odd(x) then Prime(x)"
∃x (P(x) ∧ Q(y)),there exists x such that P(x) and Q(y)
r → t,r implies t
nullity(T),the nullity of linear transformation T
v × w,the cross product of vectors v and w
A · B,the product of matrices A and B
w ⊗ u ⊗ y,"the tensor product of w, u, and y"
r → (s → (q → p)),if r then if s then if q then p
∃a Q(a),there is some a for which Q of a holds
W ∩ V,the intersection of subspaces W and V
Q = [Qᵢⱼ],the matrix Q with entries Q i j
e^A,the matrix exponential of A
q ∧ A,q and A
"w = [w₁, w₂]",the vector w with components w1 and w2
q ∨ t,either q or t
¬C,the negation of C
∀y in D P(y),"for all y in D, P(y) is true"
((P ∨ Q) ∧ ¬P) → Q,"if P or Q and not P, then Q"
∃!z S(z),there exists a unique z such that S(z) is true
∀a Q(a),"for every a, Q of a holds"
Bᵀw,the transpose of matrix B times vector w
∃z (R(z) → S(z)),there exists z such that if R(z) then S(z)
Cᵀw,the transpose of matrix C times vector w
tr(kC),the trace of k times matrix C
A → (B ∧ C) ↔ (A → B) ∧ (A → C),"if A then both B and C is eBuivalent to if A then B, and if A then C"
"∃z ∃a R(z, a)","there exist z and a such that R(z, a) is true"
"∀y ∃z Q(y, z)","for all y, there exists z such that Q(y, z) is true"
∀x in D R(x),"for all x in D, R(x) is true"
q ∨ A,q or A
det(A²),the determinant of A squared
nullity(f),the nullity of linear transformation f
w ∥ x,vector w is parallel to vector x
p ↔ A,p is true if and only if A is true
"w = [w₁, w₂, w₃]","the vector w with components w1, w2, and w3"
P ∈ ℝⁿˣⁿ,matrix P is an n by n real matrix
BᵀCᵀ,the transpose of B times the transpose of C
cu,the scalar c times vector u
∀x in the natural numbers (Even(x) → Odd(x)),"for all x in the natural numbers, if Even(x) then Odd(x)"
V⊥,the orthogonal complement of subspace V
t → q,if t then q
((r → s) ∧ ¬s) → ¬r,"if r imrlies s and not s, then not r"
p → t,p implies t
‖z‖ₚ,the p-norm of vector z
"∃x (P(x) ∧ ∀y R(x, y))","there exists x such that P(x) and for all y, R(x, y)"
"∃z in D, Q(z)",there exists z in D such that Q(z)
Bu = λu,the eigenvalue equation B times u equals lambda times u
(B - λI)v = 0,matrix B minus λ times the identity matrix times vector v equals zero
tr(cM),the trace of c times matrix M
L(v + w),L applied to the sum of v and w
∀z (P(z) ∨ S(z)),"for all z, either P(z) or S(z) is true"
∀y in D Q(y),"for every y in D, Q of y holds"
∃x in the domain R(x),there exists x in the domain such that R(x) is true
¬(B ∨ ¬B),not B or not B is a contradiction
v + x + a,"the sum of vectors v, x, and a"
‖B‖*,the nuclear norm of matrix B
P*,the conjugate transpose of matrix P
proj_u(w),the projection of w onto u
w ∥ u,vector w is parallel to vector u
M*,the conjugate transpose of matrix M
"⟨w, y⟩",the inner product of vectors w and y
¬(r ∨ ¬r),not r or not r is a contradiction
Cⁿ,matrix C to the power n
(p ∨ r) ∧ (s ∨ q),"either p or r, and either s or q"
(p ∧ t),p and t
v ⊗ u,the tensor product of v and u
Aw = λw,the matrix A times vector w equals the scalar lambda times vector w
u ⋅ (x + a),the dot product of u with the sum of x and a
"∀x ∀a Q(x, a)","for all x and for all a, Q(x, a) is true"
"{w₁, w₂} is linearly independent","the vectors {w₁, w₂} are linearly independent"
p → (r → (q → s)),if p then if r then if q then s
tr(A + B),the trace of the sum of matrices A and B
wᵀ,the transpose of vector w
∃x in D P(x),there exists x in D such that P(x) is true
Cᵀv,the transpose of matrix C times vector v
null(f),the null space of linear transformation f
(q ∨ p) ∧ (r ∨ s),"either q or p, and either r or s"
∃!z R(z),there is exactly one z for which R of z holds
u ⊥ v,u is orthogonal to v
tr(B + C),the trace of the sum of matrices B and C
p ∨ s,either p or s
AᵀCᵀ,the transpose of A times the transpose of C
(s ↔ r) ∧ (p ↔ q),"s if and only if r, and p if and only if q"
(AC)ᵀ,the transpose of the product of matrices A and C
W + V,the sum of subspaces W and V
Cx,matrix C times vector x
q → s,if q then s
‖z‖,the norm of vector z
∃!y Q(y),there exists one and only one y such that Q(y)
P⁻¹,the inverse of matrix P
Bu,matrix B times vector u
v ∧ u,the wedge product of vectors v and u
Pᵀ,the transpose of matrix P
yᵢ,the i-th component of vector y
∀a in the domain P(a),"for every a in the domain, P of a holds"
ker(T),the kernel of linear transformation T
q ∨ (r ∧ p),q or both r and p
v1(B),the first eigenvector of matrix B
B⁻¹,the inverse of matrix B
∀z (Q(z) ∨ S(z)),"for all z, either Q(z) or S(z) is true"
(v + z) ⋅ b,the dot product of the sum of v and z with b
exp(B),the matrix exponential of B
"{w₁, w₂} is linearly dependent","the vectors {w₁, w₂} are linearly dependent"
‖B‖₂,the 2-norm of matrix B
r → (p ∧ q),if r then both p and q
Q ∈ ℝᵐˣⁿ,matrix Q is an m by n real matrix
Bv = μv,matrix B times vector v equals μ times vector v
C · u,matrix C applied to vector u
tr(M²),the trace of M squared
¬(p ∨ q) ↔ (¬p ∧ ¬q),the negation of p or q is equivalent to not p and not q
∃x (P(x) ∧ Q(x)),there exists x such that both P(x) and Q(x) are true
p → (q ∨ r),if p then either q or r
v ⋅ (w + b),the dot product of v with the sum of w and b
|u|,the magnitude of vector u
∀x R(x),"for all x, R(x) is true"
∃y (Q(y) ∨ S(y)),there exists y such that either Q(y) or S(y) is true
w ⋅ (y + a),the dot product of w with the sum of y and a
σ2(B),the second singular value of matrix B
s → A,s implies A
C = LU,matrix C equals L times U
∀x Q(x),"for all x, Q(x) is true"
"∀x ∀y (T(x, y) → T(y, x))","for all x and y, if T(x, y) then T(y, x)"
Aw = μw,matrix A times vector w equals μ times vector w
w - u,the difference of vectors w and u
rank(T),the rank of linear transformation T
"∀y ∀a R(y, a)","for all y and for all a, R(y, a) is true"
∃y (P(y) ∧ R(y)),there exists y such that both P(y) and R(y) are true
B is upper triangular,matrix B is upper triangular
∀x P(x),"for all x, P(x) is true"
A is upper triangular,matrix A is upper triangular
∀y in the domain Q(y),"for every y in the domain, Q of y holds"
σ1(A),the first singular value of matrix A
det(B),the determinant of matrix B
q ∨ t,q or t
p_A(λ),the characteristic polynomial of matrix A
‖v + u‖²,the squared norm of the sum of v and u
Bₘₙ,the m by n matrix B
(αA)ᵀ,the transpose of α times matrix A
|AM|,the determinant of the product of matrices A and M
(w + u) ⋅ b,the dot product of the sum of w and u with b
∃a in D P(a),there exists a in D such that P(a) is true
q → t,q entails t
¬(p ∧ q) ↔ (¬p ∨ ¬q),the negation of p and q is equivalent to not p or not q
A → t,if A then t
BP,the product of matrices B and P
u · x,the dot product of vectors u and x
Aᵢⱼ,the entry in row i and column j of matrix A
∃x in the real numbers (Positive(x) ∧ Even(x)),there exists x in the real numbers such that both Positive(x) and Even(x)
|BP|,the determinant of the product of matrices B and P
∃z (Q(z) ∨ S(z)),there exists z such that either Q(z) or S(z) is true
ker(f),the kernel of linear transformation f
∃x (P(x) ∧ Q(x)) → (∃x P(x)) ∧ (∃x Q(x)),"if theCe exists x such that P(x) and Q(x), then theCe exists x P(x) and theCe exists x Q(x)"
(s ∧ q) → (r ∨ p),if both s and q then either r or p
A ≈ P,matrix A is approximately equal to matrix P
"∃a, P(a)",there exists a such that P(a)
((r ∨ s) ∧ ¬r) → s,"if r or s and not r, then s"
∀z (R(z) ∧ S(z)),"for all z, both R(z) and S(z) are true"
"∃x, R(x)",there exists x such that R(x)
∀x (f(x) = g(x)),"for all x, f(x) equals g(x)"
eᵢ,the i-th standard basis vector
√B,the matrix square root of B
r ↔ A,r if and only if A
∃!x P(x),there exists a unique x such that P(x) is true
"∀x ∃a Q(x, a)","for all x, there exists a such that Q(x, a) is true"
∃x in the integers Prime(x),there exists x in the integers such that Prime(x)
‖w‖ + ‖x‖,the sum of the norms of w and x
∀x in the domain P(x),"for all x in the domain, P(x) is true"
A*,the conjugate transpose of matrix A
T(x),the linear transformation T applied to vector x
C ∈ ℝᵐˣⁿ,matrix C is an m by n real matrix
s → p,s implies p
∀y (R(y) ∧ S(y)),"for all y, both R(y) and S(y) are true"
∃!y S(y),there exists a unique y such that S(y) is true
(p ∧ r) → q,if both p and r then q
¬(A ∧ B) ↔ (¬A ∨ ¬B),the negation of A and B is equivalent to not A or not B
(C - λI)w = 0,matrix C minus λ times the identity matrix times vector w equals zero
∃!y Q(y),there exists a unique y such that Q(y) is true
trace(P),the trace of matrix P
q → (s → (p → r)),if q then if s then if p then r
Au = λu,the eigenvalue equation A times u equals lambda times u
uᵀ,the transpose of vector u
∃x (P(x) → R(x)),there exists x such that if P(x) then R(x)
∃y in the domain Q(y),there exists y in the domain such that Q(y) is true
(cA)⁻¹,the inverse of c times matrix A
∀x in the domain P(x),"for every x in the domain, P of x holds"
dim(V) = n,the dimension of vector space V is n
∃x (P(x) ∧ Q) ↔ Q ∧ ∃x P(x),there exists x such that P(x) and Q is equivalent to Q and there exists x P(x)
"∀x in D, P(x)","for all x in D, P(x)"
∀z (P(z) → S(z)),"for all z, if P(z) then S(z)"
v × x,the cross product of vectors v and x
Av = u,the linear system A times v equals u
"∀x ∀y ∀z ((S(x, y) ∧ S(y, z)) → S(x, z))","for all x, y, and z, if S(x, y) and S(y, z) then S(x, z)"
(u + x) ⋅ a,the dot product of the sum of u and x with a
row(A),the row space of matrix A
‖w - x‖,the distance between vectors w and x
"y = [y₁, y₂]",the vector y with components y1 and y2
v ⊗ w ⊗ y,"the tensor product of v, w, and y"
(v + x) ⋅ a,the dot product of the sum of v and x with a
∀z Q(z),"for all z, Q(z) is true"
M₃₃,the 3 by 3 matrix M
O,the zero matrix
∃!x R(x),there exists a unique x such that R(x) is true
r → (q ∨ p),if r then either q or p
"∀y ∃z R(y, z)","for all y, there exists z such that R(y, z) is true"
"∃z ∃a P(z, a)","there exist z and a such that P(z, a) is true"
det(A + M),the determinant of the sum of matrices A and M
∃z (R(z) ∨ S(z)),there exists z such that either R(z) or S(z) is true
P ∈ ℝ³ˣ³,matrix P is a 3 by 3 real matrix
v · w,the dot product of vectors v and w
r ∨ s,r is true or s is true
"∀x ∃y R(x, y)","for all x, there exists y such that R(x, y) holds"
q → (p ∧ r),if q then both p and r
Bw = λw,matrix B times vector w equals λ times vector w
orthonormal basis,an orthonormal basis
|B|,the determinant of matrix B
∃y in the domain P(y),there is some y in the domain for which P of y holds
"∃x ∀y Loves(x, y)","there exists x such that for all y, Loves(x, y) holds"
∀y in the domain P(y),"for all y in the domain, P(y) is true"
∃x (Q(x) ∨ R(x)),there exists x such that either Q(x) or R(x) is true
(q ↔ r) ∧ (s ↔ p),"q if and only if r, and s if and only if p"
"{v₁, v₂, v₃} is linearly independent","the vectors {v₁, v₂, v₃} are linearly independent"
s ∨ A,s or A
(Mᵀ)ᵢⱼ,the i j entry of the transpose of matrix M
Qᵀ,the transpose of matrix Q
w × y,the cross product of vectors w and y
q → (r ∧ p),if q then both r and p
∃x Q(x),there exists x such that Q(x) is true
q → p,if q then p
det(A) = Πλᵢ,the determinant of A equals the product of its eigenvalues
v1(C),the first eigenvector of matrix C
r ↔ t,r is true if and only if t is true
f: ℝⁿ → ℝᵐ,f is a linear transformation from n-dimensional to m-dimensional real space
∀x (P(x) ∧ Q(x)),"for all x, both P(x) and Q(x) are true"
‖w + z‖²,the squared norm of the sum of w and z
(q ∨ p) → r,if either q or p then r
A = LU,matrix A equals L times U
∀x in the natural numbers Odd(x),"for all x in the natural numbers, Odd(x)"
∇f(x),the gradient of f at x
‖v - u‖,the distance between vectors v and u
u + y + a,"the sum of vectors u, y, and a"
lim_{n→∞} Aⁿ,the limit of A to the power n as n approaches infinity
A - M,the difference of matrices A and M
(P → Q) → ((Q → r) → (P → r)),if P imPlies Q then if Q imPlies r then P imPlies r
q ↔ s,q and s have the same truth value
Cw = λw,matrix C times vector w equals λ times vector w
w + x,the sum of vectors w and x
(∀x P(x)) ∨ (∀x Q(x)) → ∀x (P(x) ∨ Q(x)),"if for all x P(x) or for all x Q(x), then for all x, P(x) or Q(x)"
∀y (Q(y) ∨ R(y)),"for all y, either Q(y) or R(y) is true"
cond₂(A) = σₘₐₓ/σₘᵢₙ,the 2-norm condition number equals the ratio of largest to smallest singular values
Aᵀᵀ,the transpose of the transpose of matrix A
‖z‖₁,the L1 norm of vector z
Cv,matrix C times vector v
